Pos,Name,Ct SYBR,Ct Mean SYBR,Ct Dev. SYBR,Amount SYBR [Copies],Amount Mean SYBR,Amount Dev. SYBR,Target SYBR
A11,CEWE_SK_2970,31.36,31.05,0.28,1,,,eimeria
A12,CEWE_SK_2970,30.99,31.05,0.28,1,,,eimeria
B1,CEWE_SK_2971,20.59,21.18,0.63,1,,,mouse
B2,CEWE_SK_2971,21.09,21.18,0.63,1,,,mouse
B3,CEWE_SK_2971,21.85,21.18,0.63,1,,,mouse
B4,CEWE_SK_2971,31.54,31.6,0.8,1,,,eimeria
B5,CEWE_SK_2971,30.83,31.6,0.8,1,,,eimeria
B6,CEWE_SK_2971,32.42,31.6,0.8,1,,,eimeria
B7,CEWE_SK_2972,21.74,21.75,0.12,1,,,mouse
B8,CEWE_SK_2972,21.87,21.75,0.12,1,,,mouse
B9,CEWE_SK_2972,21.63,21.75,0.12,1,,,mouse
B10,CEWE_SK_2972,27.24,27.09,0.57,1,,,eimeria
B11,CEWE_SK_2972,26.46,27.09,0.57,1,,,eimeria
B12,CEWE_SK_2972,27.57,27.09,0.57,1,,,eimeria
A1,CEWE_SK_2973,21.29,21.19,0.1,1,,,mouse
A2,CEWE_SK_2973,21.19,21.19,0.1,1,,,mouse
A3,CEWE_SK_2973,21.08,21.19,0.1,1,,,mouse
A4,CEWE_SK_2973,33.21,32.6,0.54,1,,,eimeria
A5,CEWE_SK_2973,32.42,32.6,0.54,1,,,eimeria
A6,CEWE_SK_2973,32.18,32.6,0.54,1,,,eimeria
C7,CEWE_SK_2974,20.79,20.88,0.08,1,,,mouse
C8,CEWE_SK_2974,20.88,20.88,0.08,1,,,mouse
C9,CEWE_SK_2974,20.95,20.88,0.08,1,,,mouse
C10,CEWE_SK_2974,32.97,33.89,0.81,1,,,eimeria
C11,CEWE_SK_2974,34.51,33.89,0.81,1,,,eimeria
C12,CEWE_SK_2974,34.18,33.89,0.81,1,,,eimeria
D1,CEWE_SK_2975,21.59,21.93,0.41,1,,,mouse
D2,CEWE_SK_2975,21.82,21.93,0.41,1,,,mouse
D3,CEWE_SK_2975,22.39,21.93,0.41,1,,,mouse
D4,CEWE_SK_2975,21.84,21.84,0.01,1,,,eimeria
D5,CEWE_SK_2975,21.83,21.84,0.01,1,,,eimeria
D6,CEWE_SK_2975,21.86,21.84,0.01,1,,,eimeria
D7,CEWE_SK_2976,20.8,21.04,0.32,1,,,mouse
D8,CEWE_SK_2976,20.92,21.04,0.32,1,,,mouse
D9,CEWE_SK_2976,21.4,21.04,0.32,1,,,mouse
D10,CEWE_SK_2976,32.41,33.36,1.37,1,,,eimeria
D11,CEWE_SK_2976,32.73,33.36,1.37,1,,,eimeria
D12,CEWE_SK_2976,34.93,33.36,1.37,1,,,eimeria
A7,CEWE_SK_2977,21.37,21.07,0.35,1,,,mouse
A8,CEWE_SK_2977,20.68,21.07,0.35,1,,,mouse
A9,CEWE_SK_2977,21.16,21.07,0.35,1,,,mouse
A10,CEWE_SK_2977,32.11,32.77,0.73,1,,,eimeria
A11,CEWE_SK_2977,33.55,32.77,0.73,1,,,eimeria
A12,CEWE_SK_2977,32.66,32.77,0.73,1,,,eimeria
E7,CEWE_SK_2978,22.35,22.38,0.09,1,,,mouse
E8,CEWE_SK_2978,22.3,22.38,0.09,1,,,mouse
E9,CEWE_SK_2978,22.48,22.38,0.09,1,,,mouse
E10,CEWE_SK_2978,36.04,36.03,0.1,1,,,eimeria
E11,CEWE_SK_2978,36.12,36.03,0.1,1,,,eimeria
E12,CEWE_SK_2978,35.92,36.03,0.1,1,,,eimeria
F1,CEWE_SK_2979,21.87,22.41,0.89,1,,,mouse
F2,CEWE_SK_2979,21.93,22.41,0.89,1,,,mouse
F3,CEWE_SK_2979,23.44,22.41,0.89,1,,,mouse
F4,CEWE_SK_2979,32.79,32.7,0.09,1,,,eimeria
F5,CEWE_SK_2979,32.6,32.7,0.09,1,,,eimeria
F6,CEWE_SK_2979,32.72,32.7,0.09,1,,,eimeria
F7,CEWE_SK_2980,20.93,21.16,0.22,1,,,mouse
F8,CEWE_SK_2980,21.18,21.16,0.22,1,,,mouse
F9,CEWE_SK_2980,21.36,21.16,0.22,1,,,mouse
F10,CEWE_SK_2980,33.13,33.02,0.43,1,,,eimeria
F11,CEWE_SK_2980,32.55,33.02,0.43,1,,,eimeria
F12,CEWE_SK_2980,33.39,33.02,0.43,1,,,eimeria
G1,CEWE_SK_2981,21.62,22.39,0.98,1,,,mouse
G2,CEWE_SK_2981,22.05,22.39,0.98,1,,,mouse
G3,CEWE_SK_2981,23.48,22.39,0.98,1,,,mouse
G4,CEWE_SK_2981,33.36,32.97,0.46,1,,,eimeria
G5,CEWE_SK_2981,33.08,32.97,0.46,1,,,eimeria
G6,CEWE_SK_2981,32.46,32.97,0.46,1,,,eimeria
G7,CEWE_SK_2982,21.25,21.12,0.22,1,,,mouse
G8,CEWE_SK_2982,20.86,21.12,0.22,1,,,mouse
G9,CEWE_SK_2982,21.25,21.12,0.22,1,,,mouse
G10,CEWE_SK_2982,32.23,32.9,0.61,1,,,eimeria
G11,CEWE_SK_2982,33.04,32.9,0.61,1,,,eimeria
G12,CEWE_SK_2982,33.43,32.9,0.61,1,,,eimeria
A1,CEWE_SK_2983,21.41,21.23,0.15,1,,,mouse
A2,CEWE_SK_2983,21.18,21.23,0.15,1,,,mouse
A3,CEWE_SK_2983,21.11,21.23,0.15,1,,,mouse
A4,CEWE_SK_2983,26.84,26.74,0.26,1,,,eimeria
A5,CEWE_SK_2983,26.93,26.74,0.26,1,,,eimeria
A6,CEWE_SK_2983,26.44,26.74,0.26,1,,,eimeria
A7,CEWE_SK_2984,21.31,21.42,0.12,1,,,mouse
A8,CEWE_SK_2984,21.41,21.42,0.12,1,,,mouse
A9,CEWE_SK_2984,21.55,21.42,0.12,1,,,mouse
A10,CEWE_SK_2984,34.74,35.32,0.51,1,,,eimeria
A11,CEWE_SK_2984,35.66,35.32,0.51,1,,,eimeria
A12,CEWE_SK_2984,35.57,35.32,0.51,1,,,eimeria
B1,CEWE_SK_2985,21.57,21.69,0.22,1,,,mouse
B2,CEWE_SK_2985,21.56,21.69,0.22,1,,,mouse
B3,CEWE_SK_2985,21.94,21.69,0.22,1,,,mouse
B4,CEWE_SK_2985,32.81,32.98,0.18,1,,,eimeria
B5,CEWE_SK_2985,32.96,32.98,0.18,1,,,eimeria
B6,CEWE_SK_2985,33.16,32.98,0.18,1,,,eimeria
B7,CEWE_SK_2986,22,22.01,0.07,1,,,mouse
B8,CEWE_SK_2986,22.08,22.01,0.07,1,,,mouse
B9,CEWE_SK_2986,21.94,22.01,0.07,1,,,mouse
B10,CEWE_SK_2986,33.42,34.01,0.6,1,,,eimeria
B11,CEWE_SK_2986,34.61,34.01,0.6,1,,,eimeria
B12,CEWE_SK_2986,34,34.01,0.6,1,,,eimeria
C1,CEWE_SK_2987,21.99,22.02,0.06,1,,,mouse
C2,CEWE_SK_2987,22.08,22.02,0.06,1,,,mouse
C3,CEWE_SK_2987,21.98,22.02,0.06,1,,,mouse
C4,CEWE_SK_2987,30.95,30.69,0.23,1,,,eimeria
C5,CEWE_SK_2987,30.5,30.69,0.23,1,,,eimeria
C6,CEWE_SK_2987,30.63,30.69,0.23,1,,,eimeria
C7,CEWE_SK_2988,20.99,21,0.04,1,,,mouse
C8,CEWE_SK_2988,21.04,21,0.04,1,,,mouse
C9,CEWE_SK_2988,20.96,21,0.04,1,,,mouse
C10,CEWE_SK_2988,31.3,31.67,0.33,1,,,eimeria
C11,CEWE_SK_2988,31.75,31.67,0.33,1,,,eimeria
C12,CEWE_SK_2988,31.95,31.67,0.33,1,,,eimeria
D1,CEWE_SK_2989,22.02,22.02,0.07,1,,,mouse
D2,CEWE_SK_2989,21.96,22.02,0.07,1,,,mouse
D3,CEWE_SK_2989,22.09,22.02,0.07,1,,,mouse
D4,CEWE_SK_2989,26.46,26.26,0.19,1,,,eimeria
D5,CEWE_SK_2989,26.27,26.26,0.19,1,,,eimeria
D6,CEWE_SK_2989,26.07,26.26,0.19,1,,,eimeria
D7,CEWE_SK_2990,20.94,21.07,0.18,1,,,mouse
D8,CEWE_SK_2990,20.98,21.07,0.18,1,,,mouse
D9,CEWE_SK_2990,21.28,21.07,0.18,1,,,mouse
D10,CEWE_SK_2990,29.28,32.42,2.75,1,,,eimeria
D11,CEWE_SK_2990,33.63,32.42,2.75,1,,,eimeria
D12,CEWE_SK_2990,34.36,32.42,2.75,1,,,eimeria
E1,CEWE_SK_2991,21.33,21.62,0.33,1,,,mouse
E2,CEWE_SK_2991,21.98,21.62,0.33,1,,,mouse
E3,CEWE_SK_2991,21.56,21.62,0.33,1,,,mouse
E4,CEWE_SK_2991,32.22,32.38,0.23,1,,,eimeria
E5,CEWE_SK_2991,32.65,32.38,0.23,1,,,eimeria
E6,CEWE_SK_2991,32.28,32.38,0.23,1,,,eimeria
E7,CEWE_SK_2992,21.11,21.04,0.06,1,,,mouse
E8,CEWE_SK_2992,20.99,21.04,0.06,1,,,mouse
E9,CEWE_SK_2992,21.02,21.04,0.06,1,,,mouse
E10,CEWE_SK_2992,34.92,34.37,0.59,1,,,eimeria
E11,CEWE_SK_2992,33.75,34.37,0.59,1,,,eimeria
E12,CEWE_SK_2992,34.45,34.37,0.59,1,,,eimeria
F1,CEWE_SK_2993,22.1,22.08,0.13,1,,,mouse
F2,CEWE_SK_2993,22.2,22.08,0.13,1,,,mouse
F3,CEWE_SK_2993,21.94,22.08,0.13,1,,,mouse
F4,CEWE_SK_2993,31.19,31.52,0.33,1,,,eimeria
F5,CEWE_SK_2993,31.85,31.52,0.33,1,,,eimeria
F6,CEWE_SK_2993,31.51,31.52,0.33,1,,,eimeria
F7,CEWE_SK_2994,22.23,22.3,0.06,1,,,mouse
F8,CEWE_SK_2994,22.31,22.3,0.06,1,,,mouse
F9,CEWE_SK_2994,22.35,22.3,0.06,1,,,mouse
F10,CEWE_SK_2994,35.25,35.54,0.33,1,,,eimeria
F11,CEWE_SK_2994,35.47,35.54,0.33,1,,,eimeria
F12,CEWE_SK_2994,35.91,35.54,0.33,1,,,eimeria
G1,CEWE_SK_2995,22.43,22.47,0.05,1,,,mouse
G2,CEWE_SK_2995,22.52,22.47,0.05,1,,,mouse
G3,CEWE_SK_2995,22.45,22.47,0.05,1,,,mouse
G4,CEWE_SK_2995,32.59,32.48,0.09,1,,,eimeria
G5,CEWE_SK_2995,32.45,32.48,0.09,1,,,eimeria
G6,CEWE_SK_2995,32.41,32.48,0.09,1,,,eimeria
G7,CEWE_SK_2996,21.8,21.88,0.15,1,,,mouse
G8,CEWE_SK_2996,21.79,21.88,0.15,1,,,mouse
G9,CEWE_SK_2996,22.05,21.88,0.15,1,,,mouse
G10,CEWE_SK_2996,30.53,30.54,0.39,1,,,eimeria
G11,CEWE_SK_2996,30.93,30.54,0.39,1,,,eimeria
G12,CEWE_SK_2996,30.15,30.54,0.39,1,,,eimeria
A1,CEWE_SK_2997,20.98,20.83,0.17,1,,,mouse
A2,CEWE_SK_2997,20.65,20.83,0.17,1,,,mouse
A3,CEWE_SK_2997,20.84,20.83,0.17,1,,,mouse
A4,CEWE_SK_2997,23.71,23.88,0.15,1,,,eimeria
A5,CEWE_SK_2997,23.98,23.88,0.15,1,,,eimeria
A6,CEWE_SK_2997,23.94,23.88,0.15,1,,,eimeria
A7,CEWE_SK_2998,20.92,21.07,0.26,1,,,mouse
A8,CEWE_SK_2998,20.92,21.07,0.26,1,,,mouse
A9,CEWE_SK_2998,21.37,21.07,0.26,1,,,mouse
A10,CEWE_SK_2998,23.75,24,0.32,1,,,eimeria
A11,CEWE_SK_2998,23.88,24,0.32,1,,,eimeria
A12,CEWE_SK_2998,24.37,24,0.32,1,,,eimeria
B1,CEWE_SK_2999,21.64,21.74,0.17,1,,,mouse
B2,CEWE_SK_2999,21.66,21.74,0.17,1,,,mouse
B3,CEWE_SK_2999,21.93,21.74,0.17,1,,,mouse
B4,CEWE_SK_2999,33.43,33.74,0.28,1,,,eimeria
B5,CEWE_SK_2999,33.99,33.74,0.28,1,,,eimeria
B6,CEWE_SK_2999,33.79,33.74,0.28,1,,,eimeria
B7,CEWE_SK_3000,20.35,20.43,0.1,1,,,mouse
B8,CEWE_SK_3000,20.4,20.43,0.1,1,,,mouse
B9,CEWE_SK_3000,20.54,20.43,0.1,1,,,mouse
B10,CEWE_SK_3000,32.69,32.99,0.51,1,,,eimeria
B11,CEWE_SK_3000,33.58,32.99,0.51,1,,,eimeria
B12,CEWE_SK_3000,32.7,32.99,0.51,1,,,eimeria
C1,CEWE_SK_3001,20.42,20.77,0.3,1,,,mouse
C2,CEWE_SK_3001,20.94,20.77,0.3,1,,,mouse
C3,CEWE_SK_3001,20.94,20.77,0.3,1,,,mouse
C4,CEWE_SK_3001,32.86,32.99,0.14,1,,,eimeria
C5,CEWE_SK_3001,33.15,32.99,0.14,1,,,eimeria
C6,CEWE_SK_3001,32.97,32.99,0.14,1,,,eimeria
C7,CEWE_SK_3002,21.51,21.48,0.06,1,,,mouse
C8,CEWE_SK_3002,21.41,21.48,0.06,1,,,mouse
C9,CEWE_SK_3002,21.53,21.48,0.06,1,,,mouse
C10,CEWE_SK_3002,24.73,24.82,0.16,1,,,eimeria
C11,CEWE_SK_3002,24.72,24.82,0.16,1,,,eimeria
C12,CEWE_SK_3002,25,24.82,0.16,1,,,eimeria
D1,CEWE_SK_3003,21.47,21.48,0.13,1,,,mouse
D2,CEWE_SK_3003,21.36,21.48,0.13,1,,,mouse
D3,CEWE_SK_3003,21.62,21.48,0.13,1,,,mouse
D4,CEWE_SK_3003,25.53,25.53,0.07,1,,,eimeria
D5,CEWE_SK_3003,25.45,25.53,0.07,1,,,eimeria
D6,CEWE_SK_3003,25.6,25.53,0.07,1,,,eimeria
D7,CEWE_SK_3004,20.82,20.86,0.08,1,,,mouse
D8,CEWE_SK_3004,20.81,20.86,0.08,1,,,mouse
D9,CEWE_SK_3004,20.95,20.86,0.08,1,,,mouse
D10,CEWE_SK_3004,29.99,30.39,0.36,1,,,eimeria
D11,CEWE_SK_3004,30.49,30.39,0.36,1,,,eimeria
D12,CEWE_SK_3004,30.68,30.39,0.36,1,,,eimeria
E1,CEWE_SK_3005,22.19,22.27,0.11,1,,,mouse
E2,CEWE_SK_3005,22.23,22.27,0.11,1,,,mouse
E3,CEWE_SK_3005,22.4,22.27,0.11,1,,,mouse
E4,CEWE_SK_3005,33.27,33.43,0.17,1,,,eimeria
E5,CEWE_SK_3005,33.4,33.43,0.17,1,,,eimeria
E6,CEWE_SK_3005,33.6,33.43,0.17,1,,,eimeria
E7,CEWE_SK_3006,20.48,20.47,0.05,1,,,mouse
E8,CEWE_SK_3006,20.41,20.47,0.05,1,,,mouse
E9,CEWE_SK_3006,20.52,20.47,0.05,1,,,mouse
E10,CEWE_SK_3006,29.64,29.64,0.32,1,,,eimeria
E11,CEWE_SK_3006,29.32,29.64,0.32,1,,,eimeria
E12,CEWE_SK_3006,29.96,29.64,0.32,1,,,eimeria
F1,CEWE_SK_3007,22.92,22.93,0.04,1,,,mouse
F2,CEWE_SK_3007,22.89,22.93,0.04,1,,,mouse
F3,CEWE_SK_3007,22.97,22.93,0.04,1,,,mouse
F4,CEWE_SK_3007,34.48,34.68,0.19,1,,,eimeria
F5,CEWE_SK_3007,34.71,34.68,0.19,1,,,eimeria
F6,CEWE_SK_3007,34.86,34.68,0.19,1,,,eimeria
F7,CEWE_SK_3008,21.27,21.24,0.03,1,,,mouse
F8,CEWE_SK_3008,21.22,21.24,0.03,1,,,mouse
F9,CEWE_SK_3008,21.24,21.24,0.03,1,,,mouse
F10,CEWE_SK_3008,28.97,29.18,0.26,1,,,eimeria
F11,CEWE_SK_3008,29.47,29.18,0.26,1,,,eimeria
F12,CEWE_SK_3008,29.1,29.18,0.26,1,,,eimeria
G1,CEWE_SK_3009,22.21,22.29,0.08,1,,,mouse
G2,CEWE_SK_3009,22.34,22.29,0.08,1,,,mouse
G3,CEWE_SK_3009,22.34,22.29,0.08,1,,,mouse
G4,CEWE_SK_3009,28.12,28.38,0.26,1,,,eimeria
G5,CEWE_SK_3009,28.64,28.38,0.26,1,,,eimeria
G6,CEWE_SK_3009,28.37,28.38,0.26,1,,,eimeria
G7,CEWE_SK_3010,21.74,21.33,0.67,1,,,mouse
G8,CEWE_SK_3010,20.56,21.33,0.67,1,,,mouse
G9,CEWE_SK_3010,21.68,21.33,0.67,1,,,mouse
G10,CEWE_SK_3010,33.11,34.12,0.89,1,,,eimeria
G11,CEWE_SK_3010,34.75,34.12,0.89,1,,,eimeria
G12,CEWE_SK_3010,34.51,34.12,0.89,1,,,eimeria
A1,CEWE_SK_3011,20.93,20.78,0.13,1,,,mouse
A2,CEWE_SK_3011,20.75,20.78,0.13,1,,,mouse
A3,CEWE_SK_3011,20.66,20.78,0.13,1,,,mouse
A4,CEWE_SK_3011,32.03,32.06,0.36,1,,,eimeria
A5,CEWE_SK_3011,32.42,32.06,0.36,1,,,eimeria
A6,CEWE_SK_3011,31.71,32.06,0.36,1,,,eimeria
A7,CEWE_SK_3012,20.95,21.04,0.23,1,,,mouse
A8,CEWE_SK_3012,20.86,21.04,0.23,1,,,mouse
A9,CEWE_SK_3012,21.29,21.04,0.23,1,,,mouse
A10,CEWE_SK_3012,31.73,32.64,0.87,1,,,eimeria
A11,CEWE_SK_3012,33.47,32.64,0.87,1,,,eimeria
A12,CEWE_SK_3012,32.72,32.64,0.87,1,,,eimeria
B1,CEWE_SK_3013,21.56,21.57,0.07,1,,,mouse
B2,CEWE_SK_3013,21.51,21.57,0.07,1,,,mouse
B3,CEWE_SK_3013,21.64,21.57,0.07,1,,,mouse
B4,CEWE_SK_3013,28.5,29.35,0.79,1,,,eimeria
B5,CEWE_SK_3013,30.06,29.35,0.79,1,,,eimeria
B6,CEWE_SK_3013,29.48,29.35,0.79,1,,,eimeria
B7,CEWE_SK_3014,23.77,23.79,0.06,1,,,mouse
B8,CEWE_SK_3014,23.74,23.79,0.06,1,,,mouse
B9,CEWE_SK_3014,23.85,23.79,0.06,1,,,mouse
B10,CEWE_SK_3014,,36.45,0.35,1,,,eimeria
B11,CEWE_SK_3014,36.2,36.45,0.35,1,,,eimeria
B12,CEWE_SK_3014,36.7,36.45,0.35,1,,,eimeria
C1,CEWE_SK_3015,19.66,19.8,0.22,1,,,mouse
C2,CEWE_SK_3015,19.7,19.8,0.22,1,,,mouse
C3,CEWE_SK_3015,20.05,19.8,0.22,1,,,mouse
C4,CEWE_SK_3015,24.48,25.94,4.07,1,,,eimeria
C5,CEWE_SK_3015,22.8,25.94,4.07,1,,,eimeria
C6,CEWE_SK_3015,30.53,25.94,4.07,1,,,eimeria
C7,CEWE_SK_3016,20.6,20.68,0.25,1,,,mouse
C8,CEWE_SK_3016,20.49,20.68,0.25,1,,,mouse
C9,CEWE_SK_3016,20.96,20.68,0.25,1,,,mouse
C10,CEWE_SK_3016,35.39,34.2,1.05,1,,,eimeria
C11,CEWE_SK_3016,33.79,34.2,1.05,1,,,eimeria
C12,CEWE_SK_3016,33.41,34.2,1.05,1,,,eimeria
D1,CEWE_SK_3017,22.17,22.03,0.12,1,,,mouse
D2,CEWE_SK_3017,21.98,22.03,0.12,1,,,mouse
D3,CEWE_SK_3017,21.94,22.03,0.12,1,,,mouse
D4,CEWE_SK_3017,35.35,35.76,2.94,1,,,eimeria
D5,CEWE_SK_3017,38.89,35.76,2.94,1,,,eimeria
D6,CEWE_SK_3017,33.05,35.76,2.94,1,,,eimeria
D7,CEWE_SK_3018,21.86,21.75,0.1,1,,,mouse
D8,CEWE_SK_3018,21.66,21.75,0.1,1,,,mouse
D9,CEWE_SK_3018,21.71,21.75,0.1,1,,,mouse
D10,CEWE_SK_3018,35.41,34.77,0.56,1,,,eimeria
D11,CEWE_SK_3018,34.4,34.77,0.56,1,,,eimeria
D12,CEWE_SK_3018,34.48,34.77,0.56,1,,,eimeria
E1,CEWE_SK_3019,22.04,22.08,0.21,1,,,mouse
E2,CEWE_SK_3019,21.88,22.08,0.21,1,,,mouse
E3,CEWE_SK_3019,22.3,22.08,0.21,1,,,mouse
E4,CEWE_SK_3019,26.35,26.11,0.59,1,,,eimeria
E5,CEWE_SK_3019,26.55,26.11,0.59,1,,,eimeria
E6,CEWE_SK_3019,25.44,26.11,0.59,1,,,eimeria
E7,CEWE_SK_3020,20.38,20.29,0.1,1,,,mouse
E8,CEWE_SK_3020,20.29,20.29,0.1,1,,,mouse
E9,CEWE_SK_3020,20.19,20.29,0.1,1,,,mouse
E10,CEWE_SK_3020,33.82,33.35,0.41,1,,,eimeria
E11,CEWE_SK_3020,33.19,33.35,0.41,1,,,eimeria
E12,CEWE_SK_3020,33.04,33.35,0.41,1,,,eimeria
F1,CEWE_SK_3021,21.72,21.7,0.03,1,,,mouse
F2,CEWE_SK_3021,21.67,21.7,0.03,1,,,mouse
F3,CEWE_SK_3021,21.73,21.7,0.03,1,,,mouse
F4,CEWE_SK_3021,36.87,36.21,3.06,1,,,eimeria
F5,CEWE_SK_3021,38.87,36.21,3.06,1,,,eimeria
F6,CEWE_SK_3021,32.87,36.21,3.06,1,,,eimeria
F7,CEWE_SK_3022,20.95,20.92,0.02,1,,,mouse
F8,CEWE_SK_3022,20.9,20.92,0.02,1,,,mouse
F9,CEWE_SK_3022,20.91,20.92,0.02,1,,,mouse
F10,CEWE_SK_3022,25.6,25.77,0.19,1,,,eimeria
F11,CEWE_SK_3022,25.73,25.77,0.19,1,,,eimeria
F12,CEWE_SK_3022,25.98,25.77,0.19,1,,,eimeria
G1,CEWE_SK_3023,20.81,20.8,0.1,1,,,mouse
G2,CEWE_SK_3023,20.89,20.8,0.1,1,,,mouse
G3,CEWE_SK_3023,20.7,20.8,0.1,1,,,mouse
G4,CEWE_SK_3023,30.31,30.64,0.35,1,,,eimeria
G5,CEWE_SK_3023,31.01,30.64,0.35,1,,,eimeria
G6,CEWE_SK_3023,30.59,30.64,0.35,1,,,eimeria
G7,CEWE_SK_3024,20.65,20.86,0.27,1,,,mouse
G8,CEWE_SK_3024,20.77,20.86,0.27,1,,,mouse
G9,CEWE_SK_3024,21.16,20.86,0.27,1,,,mouse
G10,CEWE_SK_3024,33.49,33.03,0.69,1,,,eimeria
G11,CEWE_SK_3024,33.36,33.03,0.69,1,,,eimeria
G12,CEWE_SK_3024,32.24,33.03,0.69,1,,,eimeria
A1,CEWE_SK_3025,22.94,22.69,0.33,1,,,mouse
A2,CEWE_SK_3025,22.81,22.69,0.33,1,,,mouse
A3,CEWE_SK_3025,22.32,22.69,0.33,1,,,mouse
A4,CEWE_SK_3025,27.05,26.8,0.47,1,,,eimeria
A5,CEWE_SK_3025,27.09,26.8,0.47,1,,,eimeria
A6,CEWE_SK_3025,26.26,26.8,0.47,1,,,eimeria
A7,CEWE_SK_3026,21.3,21.26,0.04,1,,,mouse
A8,CEWE_SK_3026,21.24,21.26,0.04,1,,,mouse
A9,CEWE_SK_3026,21.22,21.26,0.04,1,,,mouse
A10,CEWE_SK_3026,35.89,34.99,0.8,1,,,eimeria
A11,CEWE_SK_3026,34.72,34.99,0.8,1,,,eimeria
A12,CEWE_SK_3026,34.36,34.99,0.8,1,,,eimeria
E7,CEWE_SK_3027,19.93,19.93,0.03,1,,,mouse
E8,CEWE_SK_3027,19.96,19.93,0.03,1,,,mouse
E9,CEWE_SK_3027,19.91,19.93,0.03,1,,,mouse
E10,CEWE_SK_3027,26.17,25.96,0.19,1,,,eimeria
E11,CEWE_SK_3027,25.87,25.96,0.19,1,,,eimeria
E12,CEWE_SK_3027,25.82,25.96,0.19,1,,,eimeria
B7,CEWE_SK_3028,21.3,21.05,0.27,1,,,mouse
B8,CEWE_SK_3028,21.08,21.05,0.27,1,,,mouse
B9,CEWE_SK_3028,20.77,21.05,0.27,1,,,mouse
B10,CEWE_SK_3028,28.51,28.81,0.27,1,,,eimeria
B11,CEWE_SK_3028,28.99,28.81,0.27,1,,,eimeria
B12,CEWE_SK_3028,28.94,28.81,0.27,1,,,eimeria
C1,CEWE_SK_3029,20.65,20.93,0.24,1,,,mouse
C2,CEWE_SK_3029,21.06,20.93,0.24,1,,,mouse
C3,CEWE_SK_3029,21.07,20.93,0.24,1,,,mouse
C4,CEWE_SK_3029,33.21,32.65,0.51,1,,,eimeria
C5,CEWE_SK_3029,32.21,32.65,0.51,1,,,eimeria
C6,CEWE_SK_3029,32.52,32.65,0.51,1,,,eimeria
C7,CEWE_SK_3030,21.74,21.27,0.41,1,,,mouse
C8,CEWE_SK_3030,21.07,21.27,0.41,1,,,mouse
C9,CEWE_SK_3030,21,21.27,0.41,1,,,mouse
C10,CEWE_SK_3030,,34.41,2.31,1,,,eimeria
C11,CEWE_SK_3030,32.78,34.41,2.31,1,,,eimeria
C12,CEWE_SK_3030,36.05,34.41,2.31,1,,,eimeria
D1,CEWE_SK_3031,21.15,21.26,0.09,1,,,mouse
D2,CEWE_SK_3031,21.31,21.26,0.09,1,,,mouse
D3,CEWE_SK_3031,21.3,21.26,0.09,1,,,mouse
D4,CEWE_SK_3031,37.11,34.99,1.84,1,,,eimeria
D5,CEWE_SK_3031,33.73,34.99,1.84,1,,,eimeria
D6,CEWE_SK_3031,34.15,34.99,1.84,1,,,eimeria
