HZ,Continent,State,Country,Address,Code,Latitude,Longitude,Who,When,X_Km,Y_Km,Region,DistMM,Males,Females,Sum,DD,DyM,MM,Note,Sampling site,Site detail,WEB Adresa
HZ_BAV,Europe,Germany,Bavaria,Niedermurach,NIEDMU,49.4489,12.3775,Terka Králová,HZ15,,,DyM,,1,1,2,,2,,,"Dietersdorfer Straße 1, 92545 Niedermurach","cows, chicken, buildings also across the street (49.447107, 12.377887)",
HZ_BAV,Europe,Germany,Bavaria,Niederpremeischl 2,NIEDPR,49.3447,12.5808,Terka Králová,HZ15,,,DyM,,2,,2,,2,,,"Niederpremeischl 2, 93488 Schönthal",horses,
HZ_BAV,Europe,Germany,Bavaria,Nunzenried 11,NUNZ11,49.4547,12.4492,Bára Vošlajerová,HZ15,,,DyM,,2,1,3,,3,,,"Nunzenried 11, 92526 Oberviechtach",,
HZ_BAV,Europe,Germany,Bavaria,Oberlaichling 3,OBERL3,48.8614,12.1606,Emanuel Heitlinger,HZ15,,,MM,,,1,1,,,1,,"Oberlaichling 3, 84069 Schierling",,
HZ_BAV,Europe,Germany,Bavaria,Obermurach 23,OBERMU23,49.4453,12.3919,Terka Králová,HZ15,,,,,1,,1,,1,,,"Obermurach 23, 92526 Oberviechtach",,
HZ_BAV,Europe,Germany,Bavaria,Obernankau 8,OBERN8,49.5861,12.2997,Bára Vošlajerová,HZ15,,,DyM,,,4,4,,4,,,"Obernankau 8, Obernankau 92648 Vohenstrauß","Hen house, horses",
HZ_BAV,Europe,Germany,Bavaria,Obersanding 14,OBERS14,48.8864,12.1606,Emanuel Heitlinger,HZ15,,,MM,,1,1,2,,,2,,"Obersanding, Sandstrasse 14, 93107 Thalmassing",,
HZ_BAV,Europe,Germany,Bavaria,Obersanding 2,OBERS2,48.8869,12.1611,Emanuel Heitlinger,HZ15,,,MM,,2,,2,,,2,,"Obersanding, Winkelgasse 2, 93107 Thalmassing",,
HZ_BAV,Europe,Germany,Bavaria,Obertresengeld 3A,OBERT3A,49.6544,12.3261,Bára Vošlajerová,HZ15,,,,,,,,,0,,,,Car shelter,
HZ_BAV,Europe,Germany,Bavaria,Obertresengeld 3B,OBERT3B,49.6539,12.3278,Bára Vošlajerová,HZ15,,,,,,,,,0,,,,Cow house,
HZ_BAV,Europe,Germany,Bavaria,Oedenthal 2,OEDE2,49.6439,12.2389,Bára Vošlajerová,HZ15,,,DyM,,,1,1,,1,,,"Oedenthal 2, 92637 Weiden in der Oberpfalz","Physicist Hutzler, Geese",
HZ_BAV,Europe,Germany,Bavaria,Paring 202,PARIN,48.8519,12.0933,Emanuel Heitlinger,HZ15,,,DyM,,4,4,8,,8,,,"Paring 202, 84085 Lanquaid",,
HZ_BAV,Europe,Germany,Bavaria,Pemfling 12,PEMF12,49.2619,12.6064,Terka Králová,HZ15,,,DyM,,3,7,10,,10,,,"Pitzlinger Straße 12, 93482 Pemfling","Cows, turkeys, donkey...",
HZ_BAV,Europe,Germany,Bavaria,Pillmersried 44,PILM44,49.3911,12.5139,Terka Králová,HZ15,,,DyM,,2,,2,,2,,,"Pillmersried 44, 92444 Rötz","Chicken, cows",
HZ_BAV,Europe,Germany,Bavaria,Reichertsmühle 1,REICHM1,49.4725,12.3772,Terka Králová,HZ15,,,DyM,,1,,1,,1,,,"Reichertsmühle 1, Voggendorf, 92545 Niedermurach",Mr. Scheuerer,
HZ_BAV,Europe,Germany,Bavaria,Rötz 2,ROTZG2,49.3417,12.5406,Terka Králová,HZ15,,,DyM,,2,,2,,2,,,"Gmünder Straße 2, 92444 Rötz",,
HZ_BAV,Europe,Germany,Bavaria,Schierling 39,SCHI39,48.8336,12.145,Emanuel Heitlinger,HZ15,,,MM,,1,3,4,,,4,,"Eggmühler Straße 39, 84069 Schierling",,
HZ_BAV,Europe,Germany,Bavaria,Stadtberg 1,STADT1,48.9183,12.1492,Emanuel Heitlinger,HZ15,,,DyM,,3,,3,,3,,,"Stadtberg 1, 93107 Thalmassing",,
HZ_BAV,Europe,Germany,Bavaria,Staunerhof,STAUN,49.2867,12.5711,Terka Králová,,,,DyM,,1,,1,,1,,,"Höfenmühle 7, 93482 Pemfling",Cows,
HZ_BAV,Europe,Germany,Bavaria,Steinach 6,STEINA6,49.5953,12.2942,Bára Vošlajerová,HZ15,,,DyM,,1,,1,,1,,,"Steinach 6, 92705 Leuchtenberg",,
HZ_BAV,Europe,Germany,Bavaria,Tauchersdorf 6,TAUCH6,49.4767,12.2456,Bára Vošlajerová,HZ15,,,DyM,,2,,2,,2,,,"Tauchersdorf 6, 92507 Nabburg",,
HZ_BAV,Europe,Germany,Bavaria,Thalmassing 5,THALM5,48.9133,12.16,Emanuel Heitlinger,HZ15,,,DyM,,1,1,2,,2,,,"Kirchweg 5, 93107 Thalmassing",,
HZ_BAV,Europe,Germany,Bavaria,Tiefenbach 28,TIEF28,49.4378,12.5789,Terka Králová,HZ15,,,DyM,,1,,1,,1,,,"Hoffelder Straße 28, 93464 Tiefenbach",,
HZ_BAV,Europe,Germany,Bavaria,Tressenried 9,TRESS9,49.4572,12.4406,Terka Králová,HZ15,,,DyM,,1,,1,,1,,,"Tressenried 9, 92526 Oberviechtach",,
HZ_BAV,Europe,Germany,Bavaria,Trobelsdorf 4,TROB4,49.3558,12.5436,Terka Králová,HZ15,,,DyM,,,1,1,,1,,,"Trobelsdorf 4, 92444 Rötz",,
HZ_BAV,Europe,Germany,Bavaria,Unterprombach 1,UNPRO1,49.1642,12.5281,Jana Funk,HZ15,,,MM,,2,2,4,,,4,,"Unterprombach 1, 93426 Roding",,
HZ_BAV,Europe,Germany,Bavaria,"Untersanding, Dorfstrasse 16",UNSAN16,48.8911,12.1706,Emanuel Heitlinger,HZ15,,,MM,,3,,3,,,3,,"Untersanding, Dorfstrasse 16, 93107 Thalmassing",,
HZ_BAV,Europe,Germany,Bavaria,"Untersanding, Lerchenweg 2",UNSAN2,48.8911,12.1683,Emanuel Heitlinger,HZ15,,,MM,,4,1,5,,,5,,"Untersanding, Lerchenweg 2, 93107 Thalmassing",,
HZ_BAV,Europe,Germany,Bavaria,Unterschneidhart 5,UNSCHH,48.8594,12.0514,Emanuel Heitlinger,HZ15,,,DyM,,1,1,2,,2,,,"Unterschneidhart 5, 84085 Langquaid",,
HZ_BAV,Europe,Germany,Bavaria,Wieden 1,WIED1,49.1447,12.5019,Jana Funk,HZ15,,,MM,,1,1,2,,,2,"CHECK IT, PLEASE","Wieden 1, 93426 Roding",,
HZ_BAV,Europe,Germany,Bavaria,Woppmannsdorf 8,WOPP8,49.125,12.3544,Jana Funk,HZ15,,,DyM,,1,1,2,,2,,,"Woppmannsdorf, Wald, Bergstrasse 8 ",,
HZ_BAV,Europe,Germany,Bavaria,Zaitzkofen 36,ZAIT36,48.8375,12.2094,Emanuel Heitlinger,HZ15,,,MM,,4,1,5,,,5,,"Zaitzkofen 36, 84069 Schierling",,
HZ_BAV,Europe,Germany,Bavaria,Zilchenricht 4,ZILCH4,49.3881,12.1806,Bára Vošlajerová,HZ15,,,DyM,,5,6,11,,11,,,"Zilchenricht 4, 92521 Schwarzenfeld",,
HZ_BAV,Europe,Germany,Bavaria,Zumhof 16,ZUM16,49.06,12.4319,Jana Funk,HZ15,,,MM,,1,1,2,,,2,,"Zumhof, Rettenbacher Str. 16, Brennberg",,
HZ_BR,Europe,Germany,Brandenburg,Albertshof 4,ALBER4,53.1478,13.4542,Christin,HZ15,,,MM,,,1,1,,,1,,"Albertshof 4, 17268 Templin",,
HZ_BR,Europe,Germany,Brandenburg,Altmädewitz 29,ALTM29,52.7508,14.1625,Jana Funk,HZ15,,,MM,,1,,1,,,1,,"Altmädewitz, Dorfplatz 29, Oderaue",,
HZ_BR,Europe,Germany,Brandenburg,Altranft 39,ALTR39,52.7667,14.0817,Jana Funk,HZ15,,,MM,,2,,2,,,2,,"Altranft, Alte Heerstraße 39, Bad Freienwalde",,
HZ_BR,Europe,Germany,Brandenburg,Altthymen 26,ALTTH,53.24,13.1647,,HZ15,,,DD,,,1,1,1,,,,"Altthymen, Altthymener Dorfstraße 26",,
HZ_BR,Europe,Germany,Brandenburg,Bad Freienwalde 45,BADFR45,52.7733,14.0661,,HZ15,,,MM,,2,,2,,,2,,"Bad Freienwalde, Frankfurter Straße 45",,
HZ_BR,Europe,Germany,Brandenburg,Beetz 125,BEETZD,52.8136,13.0161,OG,HZ14,,,DD,,1,2,3,3,,,,"Beetzer Dorfstrasse 125, 16766 Kremmen",,
HZ_BR,Europe,Germany,Brandenburg,Beetz 95A - horses,BEETZL,52.8192,13.0208,Johanna,HZ15,,,DD,,1,2,3,3,,,,"Beetz, Lindener Weg 95A, 16766 Kremmen","Reiterhof Hamp, Horse Boarding Stable",
HZ_BR,Europe,Germany,Brandenburg,Bestensee 6,BESTE6,52.2225,13.6025,Marco,HZ15,,,MM,,3,7,10,,,10,,"Unter den Eichen 6, 15741 Bestensee",,
HZ_BR,Europe,Germany,Brandenburg,Britz 2,BRITZ2,52.8875,13.8119,,HZ15,,,MM,,2,,2,,,2,,"Britz, Kirchstraße 2",,
HZ_BR,Europe,Germany,Brandenburg,Buchholz 30,BUCHH,52.5844,13.7881,,HZ15,,,DD,,1,,1,1,,,,"Buchholz, Spitzmühler Str. 30",Reiterhof Friese,
HZ_BR,Europe,Germany,Brandenburg,Croustillier 17,CROU17,52.7914,14.1169,Marco,HZ15,,,MM,,,2,2,,,2,,"Croustillier 17, 16259 Oderaue",,
HZ_BR,Europe,Germany,Brandenburg,Danewitz 22,DANE22,52.7339,13.6664,Marco,"HZ14,15",,,DD,,14,13,27,27,,,,"Hofladen, Dorfstrasse 22, 16359 Biesenthal",,
HZ_BR,Europe,Germany,Brandenburg,Densow 12,DENS12,53.145,13.3775,Christin,HZ15,,,DD,,1,,1,1,,,,"Densow, Hauptstraße 12",,
HZ_BR,Europe,Germany,Brandenburg,Dobberzin 8,DOBB8,53.0203,14.0356,,HZ15,,,MM,,1,,1,,,1,,"Dobberzin, Poststraße 8, 16278 Angermünde",,
HZ_BR,Europe,Germany,Brandenburg,Erkner Kinderbauernhof,ERKNKI,52.3989,13.7581,Johanna,HZ15,,,MM,,1,,1,,,1,,Erkner Kinderbauernhof,"Reiterhof Hamp, Horse Boarding Stable",
HZ_BR,Europe,Germany,Bavaria,Gielsdorf 68,GIEL68,52.6053,13.8756,Marco,HZ15,,,MM,,12,11,23,,,23,,"Alt-Gielsdorf 68, 15345 Altlandsberg",,
HZ_BR,Europe,Germany,Brandenburg,Gottesgabe 1,GOTTES,52.6378,14.1833,Jana Funk,HZ15,,,MM,,1,2,3,,,3,,"Gottesgabe, Wriezener Straße 1, 15320 Neuhardenberg",,
HZ_BR,Europe,Germany,Brandenburg,Hammelspring 6,HAMMEL,53.0689,13.4286,Christin,HZ15,,,DD,,1,6,7,7,,,,"Hammelspring, Vogelsanger Straße 6, Templin",,
HZ_BR,Europe,Germany,Brandenburg,Hammer 18,HAMMER18,52.8758,13.4411,,,,,DD,,,1,1,1,,,,"Hammer, Siedlung 18, Liebenwalde Hammer",,
HZ_BR,Europe,Germany,Brandenburg,Hammer 8,HAMMER8,52.8803,13.4383,Johanna,HZ15,,,DD,,,1,1,1,,,,"Hammer, Liebenthaler Straße 8, Liebenwalde ",,
HZ_BR,Europe,Germany,Brandenburg,Hohenstein 1,HOHST1,52.5689,13.9858,Steven,HZ15,,,MM,,1,,1,,,1,,"Hohenstein, Dorfstrasse 1, Strausberg",,
HZ_BR,Europe,Germany,Brandenburg,Hoppegarten 1,HOPPE1,52.4978,13.6761,Jana Funk,HZ15,,,DD,,,1,1,1,,,,"Hoppegarten, Münchehofer Str. 1",Reitsportanlage,
HZ_BR,Europe,Germany,Brandenburg,Hohenwutzen 30,HOWZ30,52.8367,14.1189,,"HZ14,15",,,MM,,7,7,14,,,14,,"Neuglietzenerstrasse 30, 16259 Bad Freienwalde",,
HZ_BR,Europe,Germany,Brandenburg,Joachimstahl 10,JOACH10,52.9753,13.7414,,HZ15,,,MM,,1,1,2,,,2,,"Mühlenstraße 10, Joachimstal",,
HZ_BR,Europe,Germany,Brandenburg,Letschin 38,LETS38,52.6506,14.3217,Jana Funk,HZ15,,,MM,,1,,1,,,1,,"Wriezener Straße 38, Letschin",Reitsportanlage,
HZ_BR,Europe,Germany,Brandenburg,Liebenthal,LIEB38,52.9156,13.4636,Steven,"HZ14,15",,,DD,,3,4,7,7,,,,"Dorfallee 38, Liebenthal, Liebenwalde",,
HZ_BR,Europe,Germany,Brandenburg,Linde 53,LINDE53,52.8925,13.1278,,HZ15,,,DD,,1,,1,1,,,,"Linde, Linde Dorfstraße 53",,
HZ_BR,Europe,Germany,Brandenburg,Lychen 6,LYCHE6,53.2242,13.3122,Deborah,HZ15,,,DD,,1,1,2,2,,,,"Lychen, Rutenberger Straße 6",,
HZ_BR,Europe,Germany,Brandenburg,Madlitz 11,MADL11,52.3792,14.3106,Jana Funk,HZ15,,,MM,,,1,1,,,1,,"Mühlenstraße 11, 15518 Madlitz ",Gut Klostermühle,
HZ_BR,Europe,Germany,Brandenburg,Marienhof 6,MARIE,52.2458,13.5994,Marco/Zoë,HZ15,,,DD,,1,,1,1,,,,"Marienhof 6, Bestensee",,
HZ_BR,Europe,Germany,Brandenburg,Milmersdorfer Chaussee 47,MILMC47,53.1158,13.595,Christin,HZ15,,,MM,,,3,3,,,3,,"Milmersdorfer Chaussee 47, 17268 Templin",,
HZ_BR,Europe,Germany,Brandenburg,Neugaul 21,NEUG21,52.7547,14.1206,,"HZ14,15",,,MM,,2,4,6,,,6,,"Neugaul 21, 16269 Wriezen",,
HZ_BR,Europe,Germany,Brandenburg,Neulöwenberg,NEULO9,52.9008,13.1972,,"HZ14,15",,,DD,,3,5,8,8,,,,"Häsener Weg 9, 16775 Löwenberger Land",,
HZ_BR,Europe,Germany,Brandenburg,Neumädewitz 39,NEUM39,52.7408,14.1611,Steven,"HZ14,15",,,MM,,1,2,3,,,3,,"Neumädewitz 39, Oderaue",,
HZ_BR,Europe,Germany,Brandenburg,Ort Berkenlatten 7,ORTB7,53.1406,13.7586,,HZ15,,,MM,,5,1,6,,,6,,"Ort Berkenlatten 7, 17268 Gerswalde",,
HZ_BR,Europe,Germany,Brandenburg,Pappelwerder 1,PAPP1,53.2108,13.6506,Christin,HZ15,,,MM,,,3,3,,,3,,"Pappelwerder 1, 17268 Mittenwalde, Germany",,
HZ_BR,Europe,Germany,Brandenburg,Pausien,PAUS,52.6372,13.0447,"Oliver Gast, Sasha","HZ14,15",,,DD,,1,,1,1,,,,"Am Anger 12, 14621 Schönwalde-Glien",,
HZ_BR,Europe,Germany,Brandenburg,Rutenberg 41,RUTE41,53.2531,13.3067,Deborah,HZ15,,,MM,,,1,1,,,1,,"Rutenberg, Dorfstraße 41",,
HZ_BR,Europe,Germany,Brandenburg,Rutenberg Rehof,RUTERE,53.2522,13.3047,Deborah,HZ15,,,MM,,1,,1,,,1,,"Rutenberg, Dorfstraße 23",Rehof,
HZ_BR,Europe,Germany,Brandenburg,Schenkendorf 8 - food,SCHEN8f,52.2725,13.5992,Marco,HZ15,,,DD,,,1,1,1,,,,"Schenkendorf, An den Eiskuten 8",Food storage,
HZ_BR,Europe,Germany,Brandenburg,Schenkendorf 8 - horses,SCHEN8h,52.2747,13.595,Marco (Marcel?),HZ15,,,DD,,2,2,4,4,,,,"Schenkendorf, An den Eiskuten 8",Horse stable,
HZ_BR,Europe,Germany,Brandenburg,Schiffmühle 29,SCHIFF29,52.8092,14.0569,Jana Funk,HZ15,,,MM,,2,2,4,,,4,,"Schiffmühle 29, 16259 Bad Freienwalde (Oder)",,
HZ_BR,Europe,Germany,Brandenburg,Schorfheide 16,SCHOR16,52.9228,13.5436,Christin,HZ15,,,DD,,3,2,5,5,,,,"Schorfheide, Prenzlauer Straße 16",,
HZ_BR,Europe,Germany,Brandenburg,Stegelitz,STEG1,53.1267,13.8433,EH,"HZ14,15",,,MM,,2,3,5,,,5,,Fredenwalder Weg 1,,
HZ_BR,Europe,Germany,Brandenburg,Sternfelde 2,STERNF2,53.0039,13.9703,,HZ15,,,MM,,3,2,5,,,5,,"Sternfelde, Kastanienallee 2, 16278 Angermünde",,
HZ_BR,Europe,Germany,Brandenburg,Storkow 17,STORK17,53.0478,13.4458,,HZ15,,,DD,,1,2,3,3,,,,"Storkower Dorfstraße 17, Storkow, 17268 Templin",,
HZ_BR,Europe,Germany,Brandenburg,Torfhaus,TORFH,52.5142,13.8517,Marco,HZ15,,,DD,,,1,1,1,,,to be PLACED,"Torfhaus, Mühlenstrasse",Food storage,
HZ_BR,Europe,Germany,Mecklenburg-Vorpommern,Triepkendorf 30,TRIEP30,53.2903,13.3306,Deborah,HZ15,,,MM,,1,,1,,,1,,"Triepkendorf, Zum Brink 30",,
HZ_BR,Europe,Germany,Brandenburg,Zehlendorf 1,ZEHL1,52.7969,13.3994,OG,"HZ14,15",,,DD,,4,5,9,9,,,,"Rehmater Weg 1, Zehlendorf, Oranienburg",,
Poland,Europe,Poland,West Pomeranian Voivodeship,Czaplin Wielki 21,PlCzW,54.0206,15.1556,Ludo & Oli,HZ15,,,MM,,,2,2,,,2,,"Czaplin Wielki 21, 72-342 Czaplin Wielki",,
Poland,Europe,Poland,West Pomeranian Voivodeship,Dramino 3,PlDram3,53.8792,14.7003,Ludo & Oli,HZ15,,,MM,,,2,2,,,2,,,,
Poland,Europe,Poland,West Pomeranian Voivodeship,Gołańcz Pomorska 48,,54.0647,15.3842,Ludo & Oli,HZ15,,,MM,,,2,2,,,2,,Gołańcz Pomorska 48,,
Poland,Europe,Poland,West Pomeranian Voivodeship,Recław 8,,53.8422,14.6275,Ludo & Oli,HZ15,,,MM,,,2,2,,,2,,"Recław 8, 72-510 Gmina Wolin",,
Poland,Europe,Poland,West Pomeranian Voivodeship,Trzeszyn 17,,53.9992,15.1511,Ludo & Oli,HZ15,,,MM,,,2,2,,,2,,Trzeszyn 17,,
Poland,Europe,Poland,West Pomeranian Voivodeship,Żółwino 6,PlZol6,53.9406,14.6125,Ludo & Oli,HZ15,,,MM,,,2,2,,,2,,"Żółwino 6, 72-514 Żółwino",,
