Transect,Continent,State,Country,Locality,Code,NDeg,NMin,NSec,EDeg,EMin,ESec,Latitude,Longitude,Who,,
HZ_CZ,Europe,Germany,Bavaria,Kübelhof1,KUBL1,50,11,42,11,26,28,"50° 11' 42""","11° 26' 28""",SJEB,"Thai girl, chickens",
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Květná 13,KVET3,50,12,14,12,31,7,"50° 12' 14""","12° 31' 7""",LD,"Private house, number 13, ""Djingiskchan"" was an old man, his son is there now",
HZ_CZ,Europe,Germany,Karlovy Vary Region,Loužek,LOUZ,50,6,21,12,27,17,"50° 6' 21""","12° 27' 17""",LD,facility for keeping stallions owned by Nebanice Horses company - family Šimáček,http://mapy.cz/s/dG3Z
HZ_CZ,Europe,Germany,Bavaria,Maiersreuth 9,MAIE9,49,59,16,12,24,31,"49° 59' 19""","12° 24' 33""",AY,"coordinates accurate, two brothers, house n. 9",
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Milhostov 64,MIL64,50,9,32,12,27,30,"50° 9' 32""","12° 27' 30""",LD,"house on the edge of village on the road to Hluboka, goats, chickens, sort of yard-sale of german garbage",
HZ_CZ,Europe,Germany,Bavaria,Münchenreuth 31,MUNR,50,2,5,12,16,59,"50° 2' 5""","12° 16' 59""",AY,House number 31,
HZ_CZ,Europe,Czechia,Karlovy Vary Region,"Nebanice 64, Vrbová",NEB64,50,6,55,12,27,21,"50° 6' 55""","12° 27' 21""",LD,"Private house of waitreses Zdena that work in Nebanice pub Zlata podkova, they have chickens, oficial adress as Nebanice 64",
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Nebanice 10 Farm Pub,NEBFP,50,6,53,12,28,13,"50° 6' 53""","12° 28' 13""",LD,"Pub next door of the farm hotel, Eva Šimáčková",http://www.mapy.cz/s/dOk9 
HZ_CZ,Europe,Czechia,Ústí nad Labem Region,Nepomyšl 172,NEPO1,50,12,58,13,18,24,"50° 12' 58""","13° 18' 24""",TnT,"private house number 172, white house just next to road, mice are in garage-storage-black kitchen room",
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Nová Ves 1 (CH),NVCH1,50,10,39,12,25,14,"50° 10' 39""","12° 25' 14""",LD,"House number 1, farm",
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Obilná2,OBIL2,50,5,47,12,28,17,"50° 5' 47""","12° 28' 17""",LD,"private farmhouse in willage with cows, horses, owned by two brothers",
HZ_CZ,Europe,Germany,Bavaria,Ödmeiersrieth 4,ODM4,49,33,49,12,31,5,"49° 33' 49""","12° 31' 5""",AY,"farm not in willage, GPS lead you directly there",
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Odrava 26,ODR26,50,6,16,12,29,3,"50° 6' 16""","12° 29' 3""",LD,"Private house n.26, old may be under reconstruction, original owners moved in 2014",
HZ_CZ,Europe,Czechia,Pilsen Region,Pastuchovice,PAST,50,4,9,13,23,3,"50° 4' 9""","13° 23' 3""",TnT,"coordinates lead to horses but owner lives above in white-pink striped house, room called ""vodarna"" = no acces to cats, thus many mice",
HZ_CZ,Europe,Czechia,Pilsen Region,Přehořov 11,PRE11,50,1,41,13,22,41,"50° 1' 41""","13° 22' 41""",TnT,"House No. 11, on fence ""pan Bláha soukromý zemedelec"", going on main road, before small church and bus stop turn right on mud road private house in village pan Bláha",
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Přílezy - Pig house,PRPR,50,5,31,12,56,34,"50° 5' 31""","12° 56' 34""",TnT,"Private pig farm, Mrs. Pechová, family house n. 11 and pigery is 30 m from house on the edge of willage",
HZ_CZ,Europe,Germany,Bavaria,Rosenbühl 2,ROSE,49,59,29,12,13,59,"49° 59' 29""","12° 13' 59""",AY,"Rosenbühl 2, Rosenbühl 95692 Konnersreuth, Oberpfalz, Bayern, Germany",
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Šabina 86,SABI86,50,8,5,12,35,52,"50° 8' 5""","12° 35' 52""",LD,"An old man with gees , house n. 86",
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Šabina horses,SABIH,50,8,6,12,34,58,"50° 8' 6""","12° 34' 58""",LD,"A blond lady with horses, stables ",
HZ_CZ,Europe,Germany,Bavaria,Seybothenreuth,SEYB,49,52,57,11,43,12,"49° 52' 57""","11° 43' 12""",AY,"Plössen tria3, small farm 1.7 km SE of the city, pass the pub Zumedhirsch",
HZ_CZ,Europe,Germany,Bavaria,Straas2,STR2,50,10,53,11,45,45,"50° 10' 53""","11° 45' 45""",SJEB,"Reinhard Fritsch, Straas 16, 95213 Münchberg",
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Týniště4,TYN4,50,8,50,13,10,57,"50° 8' 50""","13° 10' 57""",TnT,"house number 21, cross river, turn left pass church left side blue house with glasshouse, nickname ""Špinďour"", many but mice at chickens only",
HZ_CZ,Europe,Germany,Bavaria,Unterweissenbach,UNWE,50,9,25,12,6,12,"50° 9' 25""","12° 6' 12""",SJEB,"Street Vorderer Berg right from B15 road 2 exit cow stable big one last on right, garaže, sýpka, kravín",
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Verušičky 15,VER15,50,8,31,13,10,35,"50° 8' 31""","13° 10' 35""",TnT,"house number 15 but number not on house, but on postbox, small family farm in village",
HZ_CZ,Europe,Czechia,Karlovy Vary Region,Vrbice 7,VRB7,50,8,58,13,13,51,"50° 8' 58""","13° 13' 51""",TnT,"private house number 7, you have to pass shop, church and fire brigade facility, on the T shaped crosroad at the end of street",
HZ_CZ,Europe,Czechia,Ústí nad Labem Region,Vrbička 4,VRBI4,50,10,39,13,17,36,"50° 10' 39""","13° 17' 36""",TnT,"new house in old willage private house n4, Mr. Horst elderly men, on main square of village, which is really small",
HZ_CZ,Europe,Germany,Bavaria,Wolfsbühl 4,WOHL,50,0,48,12,15,28,"50° 0' 48""","12° 15' 28""",AY,"remember mouse hunters, house n.4, coordinates precise, nice people",
HZ_CZ,Europe,Germany,Bavaria,Wolferszwing 1,WOZW1,49,6,52,12,16,41,"49° 6' 52""","12° 16' 41""",AY,"Wolferszwing 1, Bernhardswald, Germany",
HZ_CZ,Europe,Czechia,,Žihle Statek,ZIST,50,2,32,13,23,11,"50° 2' 32""","13° 23' 11""",TnT,"farm outside from willage, animal food production factory, called ""Žihle statek""",
