Pos,Name,Ct SYBR,Ct Mean SYBR,Ct Dev. SYBR,Amount SYBR [Copies],Amount Mean SYBR,Amount Dev. SYBR,Target SYBR
E2,CEWE_SK_3052,22.17,22.25,0.1,1,,,mouse
E3,CEWE_SK_3052,22.35,22.25,0.1,1,,,mouse
E4,CEWE_SK_3052,37,34.83,2.58,1,,,eimeria
E5,CEWE_SK_3052,35.52,34.83,2.58,1,,,eimeria
E6,CEWE_SK_3052,31.97,34.83,2.58,1,,,eimeria
E7,CEWE_SK_3053,20.96,20.95,0.05,1,,,mouse
E8,CEWE_SK_3053,20.9,20.95,0.05,1,,,mouse
E9,CEWE_SK_3053,20.99,20.95,0.05,1,,,mouse
E10,CEWE_SK_3053,35.72,34.54,1.49,1,,,eimeria
E11,CEWE_SK_3053,35.03,34.54,1.49,1,,,eimeria
E12,CEWE_SK_3053,32.87,34.54,1.49,1,,,eimeria
F1,CEWE_SK_3054,21.02,20.92,0.18,1,,,mouse
F2,CEWE_SK_3054,20.71,20.92,0.18,1,,,mouse
F3,CEWE_SK_3054,21.03,20.92,0.18,1,,,mouse
F4,CEWE_SK_3054,35.4,34.65,2.79,1,,,eimeria
F5,CEWE_SK_3054,36.99,34.65,2.79,1,,,eimeria
F6,CEWE_SK_3054,31.56,34.65,2.79,1,,,eimeria
F7,CEWE_SK_3057,20.13,20.06,0.1,1,,,mouse
F8,CEWE_SK_3057,19.95,20.06,0.1,1,,,mouse
F9,CEWE_SK_3057,20.11,20.06,0.1,1,,,mouse
F10,CEWE_SK_3057,35.85,34.18,1.8,1,,,eimeria
F11,CEWE_SK_3057,34.4,34.18,1.8,1,,,eimeria
F12,CEWE_SK_3057,32.28,34.18,1.8,1,,,eimeria
G1,CEWE_SK_3058,22.15,22.27,0.12,1,,,mouse
G2,CEWE_SK_3058,22.39,22.27,0.12,1,,,mouse
G3,CEWE_SK_3058,22.27,22.27,0.12,1,,,mouse
G4,CEWE_SK_3058,,36.46,1.6,1,,,eimeria
G5,CEWE_SK_3058,37.59,36.46,1.6,1,,,eimeria
G6,CEWE_SK_3058,35.32,36.46,1.6,1,,,eimeria
G7,CEWE_SK_3059,20.51,20.44,0.12,1,,,mouse
G8,CEWE_SK_3059,20.3,20.44,0.12,1,,,mouse
G9,CEWE_SK_3059,20.5,20.44,0.12,1,,,mouse
G10,CEWE_SK_3059,35.84,35.38,2.48,1,,,eimeria
G11,CEWE_SK_3059,37.6,35.38,2.48,1,,,eimeria
G12,CEWE_SK_3059,32.71,35.38,2.48,1,,,eimeria
H1,NTC,35.56,35.63,0.1,-,,,mouse
H2,NTC,35.7,35.63,0.1,-,,,mouse
H3,NTC,-,35.63,0.1,-,,,mouse
H4,NTC,-,,,-,,,eimeria
H5,NTC,-,,,-,,,eimeria
H6,NTC,-,,,-,,,eimeria
H7,water,-,,,-,,,mouse
H8,water,-,,,-,,,mouse
H9,water,-,,,-,,,mouse
H10,water,-,,,-,,,eimeria
H11,water,-,,,-,,,eimeria
H12,water,-,,,-,,,eimeria
,,,,,,,,
Analysis Parameters,,,,,,,,
Type of Application,Quantification,,,,,,,
Dye(s),SYBR,,,,,,,
Inverted Data,OFF,,,,,,,
Threshold setting,Noiseband,,,,,,,
Threshold level,371,,,,,,,
Baseline setting,Automatic,,,,,,,
Baseline range (from cycle no. ... to),n/a,,,,,,,
Drift Correction,OFF,,,,,,,
