Pos,Name,Ct SYBR,Ct Mean SYBR,Ct Dev. SYBR,Amount SYBR [Copies],Amount Mean SYBR,Amount Dev. SYBR,Target SYBR
G7,CEWE_SK_3041,21.73,21.66,0.13,1,,,mouse
G8,CEWE_SK_3041,21.51,21.66,0.13,1,,,mouse
G9,CEWE_SK_3041,21.74,21.66,0.13,1,,,mouse
G10,CEWE_SK_3041,24.78,24.87,0.08,1,,,eimeria
G11,CEWE_SK_3041,24.88,24.87,0.08,1,,,eimeria
G12,CEWE_SK_3041,24.95,24.87,0.08,1,,,eimeria
H1,NTC,37.23,37.69,0.64,-,,,mouse
H2,NTC,38.14,37.69,0.64,-,,,mouse
H3,NTC,-,37.69,0.64,-,,,mouse
H4,NTC,-,,,-,,,eimeria
H5,NTC,-,,,-,,,eimeria
H6,NTC,-,,,-,,,eimeria
H7,water,-,,,-,,,mouse
H8,water,-,,,-,,,mouse
H9,water,-,,,-,,,mouse
H10,water,-,,,-,,,eimeria
H11,water,-,,,-,,,eimeria
H12,water,-,,,-,,,eimeria
,,,,,,,,
Analysis Parameters,,,,,,,,
Type of Application,Quantification,,,,,,,
Dye(s),SYBR,,,,,,,
Inverted Data,OFF,,,,,,,
Threshold setting,Noiseband,,,,,,,
Threshold level,285,,,,,,,
Baseline setting,Automatic,,,,,,,
Baseline range (from cycle no. ... to),n/a,,,,,,,
Drift Correction,OFF,,,,,,,
