Pos,Name,"No. Tm SYBR","Tm x (°C) SYBR","Tm y (°C) SYBR","Mean SYBR","Dev. SYBR" , QPCRmc06.04.2018.XLS.csv
C1,CEWE_AA_0239,1,80.4,,, , QPCRmc06.04.2018.XLS.csv
C2,CEWE_AA_0239,1,78.3,,, , QPCRmc06.04.2018.XLS.csv
C3,CEWE_AA_0239,1,78.5,,, , QPCRmc06.04.2018.XLS.csv
C4,CEWE_AA_0239,1,75.1,,, , QPCRmc06.04.2018.XLS.csv
C5,CEWE_AA_0239,1,74.9,,, , QPCRmc06.04.2018.XLS.csv
C6,CEWE_AA_0239,1,75.9,,, , QPCRmc06.04.2018.XLS.csv
C7,ILWE_AA_0239,1,77.9,,, , QPCRmc06.04.2018.XLS.csv
C8,ILWE_AA_0239,1,79.9,,, , QPCRmc06.04.2018.XLS.csv
C9,ILWE_AA_0239,1,79.6,,, , QPCRmc06.04.2018.XLS.csv
C10,ILWE_AA_0239,0,,,, , QPCRmc06.04.2018.XLS.csv
C11,ILWE_AA_0239,0,,,, , QPCRmc06.04.2018.XLS.csv
C12,ILWE_AA_0239,0,,,, , QPCRmc06.04.2018.XLS.csv
D1,CEWE_AA_0240,1,79,,, , QPCRmc06.04.2018.XLS.csv
D2,CEWE_AA_0240,1,79.9,,, , QPCRmc06.04.2018.XLS.csv
D3,CEWE_AA_0240,1,79.8,,, , QPCRmc06.04.2018.XLS.csv
D4,CEWE_AA_0240,0,,,, , QPCRmc06.04.2018.XLS.csv
D5,CEWE_AA_0240,0,,,, , QPCRmc06.04.2018.XLS.csv
D6,CEWE_AA_0240,0,,,, , QPCRmc06.04.2018.XLS.csv
D7,ILWE_AA_0240,1,78.8,,, , QPCRmc06.04.2018.XLS.csv
D8,ILWE_AA_0240,1,79.8,,, , QPCRmc06.04.2018.XLS.csv
D9,ILWE_AA_0240,1,78.7,,, , QPCRmc06.04.2018.XLS.csv
D10,ILWE_AA_0240,0,,,, , QPCRmc06.04.2018.XLS.csv
D11,ILWE_AA_0240,0,,,, , QPCRmc06.04.2018.XLS.csv
D12,ILWE_AA_0240,0,,,, , QPCRmc06.04.2018.XLS.csv
E1,CEWE_AA_0241,0,,,, , QPCRmc06.04.2018.XLS.csv
E2,CEWE_AA_0241,1,77.6,,, , QPCRmc06.04.2018.XLS.csv
E3,CEWE_AA_0241,1,79.8,,, , QPCRmc06.04.2018.XLS.csv
E4,CEWE_AA_0241,0,,,, , QPCRmc06.04.2018.XLS.csv
E5,CEWE_AA_0241,0,,,, , QPCRmc06.04.2018.XLS.csv
E6,CEWE_AA_0241,0,,,, , QPCRmc06.04.2018.XLS.csv
E7,ILWE_AA_0241,1,79.4,,, , QPCRmc06.04.2018.XLS.csv
E8,ILWE_AA_0241,0,,,, , QPCRmc06.04.2018.XLS.csv
E9,ILWE_AA_0241,1,79.9,,, , QPCRmc06.04.2018.XLS.csv
E10,ILWE_AA_0241,0,,,, , QPCRmc06.04.2018.XLS.csv
E11,ILWE_AA_0241,0,,,, , QPCRmc06.04.2018.XLS.csv
E12,ILWE_AA_0241,0,,,, , QPCRmc06.04.2018.XLS.csv
H1,NTC,0,,,, , QPCRmc06.04.2018.XLS.csv
H2,NTC,0,,,, , QPCRmc06.04.2018.XLS.csv
H3,NTC,0,,,, , QPCRmc06.04.2018.XLS.csv
H4,NTC,0,,,, , QPCRmc06.04.2018.XLS.csv
H5,NTC,0,,,, , QPCRmc06.04.2018.XLS.csv
H6,NTC,0,,,, , QPCRmc06.04.2018.XLS.csv
H7,water,0,,,, , QPCRmc06.04.2018.XLS.csv
H8,water,0,,,, , QPCRmc06.04.2018.XLS.csv
H9,water,0,,,, , QPCRmc06.04.2018.XLS.csv
H10,water,0,,,, , QPCRmc06.04.2018.XLS.csv
H11,water,0,,,, , QPCRmc06.04.2018.XLS.csv
H12,water,0,,,, , QPCRmc06.04.2018.XLS.csv
,,,,,, , QPCRmc06.04.2018.XLS.csv
"Analysis Parameters",,,,,, , QPCRmc06.04.2018.XLS.csv
"Type of Application","Melting Curve",,,,, , QPCRmc06.04.2018.XLS.csv
Dye(s),SYBR,,,,, , QPCRmc06.04.2018.XLS.csv
"Inverted Data",OFF,,,,, , QPCRmc06.04.2018.XLS.csv
Pos,Name,"No. Tm SYBR","Tm x (°C) SYBR","Tm y (°C) SYBR","Mean SYBR","Dev. SYBR" , QPCRmc09.04.2018.XLS.csv
A1,CEWE_AA_0242,0,,,, , QPCRmc09.04.2018.XLS.csv
A2,CEWE_AA_0242,0,,,, , QPCRmc09.04.2018.XLS.csv
A3,CEWE_AA_0242,0,,,, , QPCRmc09.04.2018.XLS.csv
A4,CEWE_AA_0242,0,,,, , QPCRmc09.04.2018.XLS.csv
A5,CEWE_AA_0242,0,,,, , QPCRmc09.04.2018.XLS.csv
A6,CEWE_AA_0242,0,,,, , QPCRmc09.04.2018.XLS.csv
A7,ILWE_AA_0242,0,,,, , QPCRmc09.04.2018.XLS.csv
A8,ILWE_AA_0242,1,80.6,,, , QPCRmc09.04.2018.XLS.csv
A9,ILWE_AA_0242,0,,,, , QPCRmc09.04.2018.XLS.csv
A10,ILWE_AA_0242,0,,,, , QPCRmc09.04.2018.XLS.csv
A11,ILWE_AA_0242,0,,,, , QPCRmc09.04.2018.XLS.csv
A12,ILWE_AA_0242,0,,,, , QPCRmc09.04.2018.XLS.csv
B1,CEWE_AA_0243,1,81,,, , QPCRmc09.04.2018.XLS.csv
B2,CEWE_AA_0243,1,80.5,,, , QPCRmc09.04.2018.XLS.csv
B3,CEWE_AA_0243,0,,,, , QPCRmc09.04.2018.XLS.csv
B4,CEWE_AA_0243,0,,,, , QPCRmc09.04.2018.XLS.csv
B5,CEWE_AA_0243,0,,,, , QPCRmc09.04.2018.XLS.csv
B6,CEWE_AA_0243,0,,,, , QPCRmc09.04.2018.XLS.csv
B7,ILWE_AA_0243,1,78.7,,, , QPCRmc09.04.2018.XLS.csv
B8,ILWE_AA_0243,1,78.5,,, , QPCRmc09.04.2018.XLS.csv
B9,ILWE_AA_0243,1,79.5,,, , QPCRmc09.04.2018.XLS.csv
B10,ILWE_AA_0243,0,,,, , QPCRmc09.04.2018.XLS.csv
B11,ILWE_AA_0243,0,,,, , QPCRmc09.04.2018.XLS.csv
B12,ILWE_AA_0243,0,,,, , QPCRmc09.04.2018.XLS.csv
C1,CEWE_AA_0244,1,80.8,,, , QPCRmc09.04.2018.XLS.csv
C2,CEWE_AA_0244,1,80.1,,, , QPCRmc09.04.2018.XLS.csv
C3,CEWE_AA_0244,1,80.4,,, , QPCRmc09.04.2018.XLS.csv
C4,CEWE_AA_0244,0,,,, , QPCRmc09.04.2018.XLS.csv
C5,CEWE_AA_0244,0,,,, , QPCRmc09.04.2018.XLS.csv
C6,CEWE_AA_0244,0,,,, , QPCRmc09.04.2018.XLS.csv
C7,ILWE_AA_0244,1,78.2,,, , QPCRmc09.04.2018.XLS.csv
C8,ILWE_AA_0244,1,78,,, , QPCRmc09.04.2018.XLS.csv
C9,ILWE_AA_0244,1,79.6,,, , QPCRmc09.04.2018.XLS.csv
C10,ILWE_AA_0244,0,,,, , QPCRmc09.04.2018.XLS.csv
C11,ILWE_AA_0244,0,,,, , QPCRmc09.04.2018.XLS.csv
C12,ILWE_AA_0244,0,,,, , QPCRmc09.04.2018.XLS.csv
D1,CEWE_AA_0245,1,79.9,,, , QPCRmc09.04.2018.XLS.csv
D2,CEWE_AA_0245,1,80.2,,, , QPCRmc09.04.2018.XLS.csv
D3,CEWE_AA_0245,1,79.8,,, , QPCRmc09.04.2018.XLS.csv
D4,CEWE_AA_0245,1,75.8,,, , QPCRmc09.04.2018.XLS.csv
D5,CEWE_AA_0245,1,76.3,,, , QPCRmc09.04.2018.XLS.csv
D6,CEWE_AA_0245,1,75.7,,, , QPCRmc09.04.2018.XLS.csv
D7,ILWE_AA_0245,1,78.7,,, , QPCRmc09.04.2018.XLS.csv
D8,ILWE_AA_0245,1,77,,, , QPCRmc09.04.2018.XLS.csv
D9,ILWE_AA_0245,1,78.5,,, , QPCRmc09.04.2018.XLS.csv
D10,ILWE_AA_0245,0,,,, , QPCRmc09.04.2018.XLS.csv
D11,ILWE_AA_0245,0,,,, , QPCRmc09.04.2018.XLS.csv
D12,ILWE_AA_0245,1,74.5,,, , QPCRmc09.04.2018.XLS.csv
E1,CEWE_AA_0246,0,,,, , QPCRmc09.04.2018.XLS.csv
E2,CEWE_AA_0246,1,80.2,,, , QPCRmc09.04.2018.XLS.csv
E3,CEWE_AA_0246,1,80.1,,, , QPCRmc09.04.2018.XLS.csv
E4,CEWE_AA_0246,1,75,,, , QPCRmc09.04.2018.XLS.csv
E5,CEWE_AA_0246,1,75.5,,, , QPCRmc09.04.2018.XLS.csv
E6,CEWE_AA_0246,1,75.4,,, , QPCRmc09.04.2018.XLS.csv
E7,ILWE_AA_0246,1,77.8,,, , QPCRmc09.04.2018.XLS.csv
E8,ILWE_AA_0246,1,76.4,,, , QPCRmc09.04.2018.XLS.csv
E9,ILWE_AA_0246,1,77.6,,, , QPCRmc09.04.2018.XLS.csv
E10,ILWE_AA_0246,0,,,, , QPCRmc09.04.2018.XLS.csv
E11,ILWE_AA_0246,0,,,, , QPCRmc09.04.2018.XLS.csv
E12,ILWE_AA_0246,0,,,, , QPCRmc09.04.2018.XLS.csv
H1,NTC,0,,,, , QPCRmc09.04.2018.XLS.csv
H2,NTC,0,,,, , QPCRmc09.04.2018.XLS.csv
H3,NTC,0,,,, , QPCRmc09.04.2018.XLS.csv
H4,NTC,0,,,, , QPCRmc09.04.2018.XLS.csv
H5,NTC,0,,,, , QPCRmc09.04.2018.XLS.csv
H6,NTC,0,,,, , QPCRmc09.04.2018.XLS.csv
H7,water,0,,,, , QPCRmc09.04.2018.XLS.csv
H8,water,0,,,, , QPCRmc09.04.2018.XLS.csv
H9,water,0,,,, , QPCRmc09.04.2018.XLS.csv
H10,water,0,,,, , QPCRmc09.04.2018.XLS.csv
H11,water,0,,,, , QPCRmc09.04.2018.XLS.csv
H12,water,0,,,, , QPCRmc09.04.2018.XLS.csv
,,,,,, , QPCRmc09.04.2018.XLS.csv
"Analysis Parameters",,,,,, , QPCRmc09.04.2018.XLS.csv
"Type of Application","Melting Curve",,,,, , QPCRmc09.04.2018.XLS.csv
Dye(s),SYBR,,,,, , QPCRmc09.04.2018.XLS.csv
"Inverted Data",OFF,,,,, , QPCRmc09.04.2018.XLS.csv
Pos,Name,"No. Tm SYBR","Tm x (°C) SYBR","Tm y (°C) SYBR","Mean SYBR","Dev. SYBR" , QPCRmc16.04.2018.XLS.csv
A1,CEWE_AA_0242,0,,,, , QPCRmc16.04.2018.XLS.csv
A2,CEWE_AA_0242,0,,,, , QPCRmc16.04.2018.XLS.csv
A3,CEWE_AA_0242,0,,,, , QPCRmc16.04.2018.XLS.csv
A4,CEWE_AA_0242,0,,,, , QPCRmc16.04.2018.XLS.csv
A5,CEWE_AA_0242,0,,,, , QPCRmc16.04.2018.XLS.csv
A6,CEWE_AA_0242,0,,,, , QPCRmc16.04.2018.XLS.csv
A7,ILWE_AA_0242,1,79.6,,, , QPCRmc16.04.2018.XLS.csv
A8,ILWE_AA_0242,1,80.2,,, , QPCRmc16.04.2018.XLS.csv
A9,ILWE_AA_0242,1,78.3,,, , QPCRmc16.04.2018.XLS.csv
A10,ILWE_AA_242,0,,,, , QPCRmc16.04.2018.XLS.csv
A11,ILWE_AA_242,0,,,, , QPCRmc16.04.2018.XLS.csv
A12,ILWE_AA_242,0,,,, , QPCRmc16.04.2018.XLS.csv
B1,CEWE_AA_0243,0,,,, , QPCRmc16.04.2018.XLS.csv
B2,CEWE_AA_0243,0,,,, , QPCRmc16.04.2018.XLS.csv
B3,CEWE_AA_0243,0,,,, , QPCRmc16.04.2018.XLS.csv
B4,CEWE_AA_0243,0,,,, , QPCRmc16.04.2018.XLS.csv
B5,CEWE_AA_0243,0,,,, , QPCRmc16.04.2018.XLS.csv
B6,CEWE_AA_0243,0,,,, , QPCRmc16.04.2018.XLS.csv
B7,ILWE_AA_0243,1,79.6,,, , QPCRmc16.04.2018.XLS.csv
B8,ILWE_AA_0243,1,78.8,,, , QPCRmc16.04.2018.XLS.csv
B9,ILWE_AA_0243,1,78.4,,, , QPCRmc16.04.2018.XLS.csv
B10,ILWE_AA_0243,0,,,, , QPCRmc16.04.2018.XLS.csv
B11,ILWE_AA_0243,0,,,, , QPCRmc16.04.2018.XLS.csv
B12,ILWE_AA_0243,0,,,, , QPCRmc16.04.2018.XLS.csv
C1,CEWE_AA_0247,0,,,, , QPCRmc16.04.2018.XLS.csv
C2,CEWE_AA_0247,0,,,, , QPCRmc16.04.2018.XLS.csv
C3,CEWE_AA_0247,0,,,, , QPCRmc16.04.2018.XLS.csv
C4,CEWE_AA_0247,0,,,, , QPCRmc16.04.2018.XLS.csv
C5,CEWE_AA_0247,1,75,,, , QPCRmc16.04.2018.XLS.csv
C6,CEWE_AA_0247,0,,,, , QPCRmc16.04.2018.XLS.csv
C7,ILWE_AA_0247,1,79.1,,, , QPCRmc16.04.2018.XLS.csv
C8,ILWE_AA_0247,1,79.3,,, , QPCRmc16.04.2018.XLS.csv
C9,ILWE_AA_0247,1,78.6,,, , QPCRmc16.04.2018.XLS.csv
C10,ILWE_AA_0247,0,,,, , QPCRmc16.04.2018.XLS.csv
C11,ILWE_AA_0247,0,,,, , QPCRmc16.04.2018.XLS.csv
C12,ILWE_AA_0247,0,,,, , QPCRmc16.04.2018.XLS.csv
D1,CEWE_AA_0248,1,80,,, , QPCRmc16.04.2018.XLS.csv
D2,CEWE_AA_0248,1,80.4,,, , QPCRmc16.04.2018.XLS.csv
D3,CEWE_AA_0248,1,79.3,,, , QPCRmc16.04.2018.XLS.csv
D4,CEWE_AA_0248,1,74.2,,, , QPCRmc16.04.2018.XLS.csv
D5,CEWE_AA_0248,1,74.3,,, , QPCRmc16.04.2018.XLS.csv
D6,CEWE_AA_0248,1,74.1,,, , QPCRmc16.04.2018.XLS.csv
D7,ILWE_AA_0248,1,78.6,,, , QPCRmc16.04.2018.XLS.csv
D8,ILWE_AA_0248,1,78.5,,, , QPCRmc16.04.2018.XLS.csv
D9,ILWE_AA_0248,1,78.1,,, , QPCRmc16.04.2018.XLS.csv
D10,ILWE_AA_0248,0,,,, , QPCRmc16.04.2018.XLS.csv
D11,ILWE_AA_0248,0,,,, , QPCRmc16.04.2018.XLS.csv
D12,ILWE_AA_0248,0,,,, , QPCRmc16.04.2018.XLS.csv
E1,CEWE_AA_0249,1,80.3,,, , QPCRmc16.04.2018.XLS.csv
E2,CEWE_AA_0249,1,79.1,,, , QPCRmc16.04.2018.XLS.csv
E3,CEWE_AA_0249,1,79.4,,, , QPCRmc16.04.2018.XLS.csv
E4,CEWE_AA_0249,1,73,,, , QPCRmc16.04.2018.XLS.csv
E5,CEWE_AA_0249,1,73.7,,, , QPCRmc16.04.2018.XLS.csv
E6,CEWE_AA_0249,1,73.2,,, , QPCRmc16.04.2018.XLS.csv
E7,ILWE_AA_0249,1,79.2,,, , QPCRmc16.04.2018.XLS.csv
E8,ILWE_AA_0249,1,78.6,,, , QPCRmc16.04.2018.XLS.csv
E9,ILWE_AA_0249,1,78.1,,, , QPCRmc16.04.2018.XLS.csv
E10,ILWE_AA_0249,1,73.7,,, , QPCRmc16.04.2018.XLS.csv
E11,ILWE_AA_0249,1,73.8,,, , QPCRmc16.04.2018.XLS.csv
E12,ILWE_AA_0249,0,,,, , QPCRmc16.04.2018.XLS.csv
H1,NTC,0,,,, , QPCRmc16.04.2018.XLS.csv
H2,NTC,0,,,, , QPCRmc16.04.2018.XLS.csv
H3,NTC,0,,,, , QPCRmc16.04.2018.XLS.csv
H4,NTC,0,,,, , QPCRmc16.04.2018.XLS.csv
H5,NTC,0,,,, , QPCRmc16.04.2018.XLS.csv
H6,NTC,0,,,, , QPCRmc16.04.2018.XLS.csv
H7,water,0,,,, , QPCRmc16.04.2018.XLS.csv
H8,water,0,,,, , QPCRmc16.04.2018.XLS.csv
H9,water,0,,,, , QPCRmc16.04.2018.XLS.csv
H10,water,0,,,, , QPCRmc16.04.2018.XLS.csv
H11,water,0,,,, , QPCRmc16.04.2018.XLS.csv
H12,water,0,,,, , QPCRmc16.04.2018.XLS.csv
,,,,,, , QPCRmc16.04.2018.XLS.csv
"Analysis Parameters",,,,,, , QPCRmc16.04.2018.XLS.csv
"Type of Application","Melting Curve",,,,, , QPCRmc16.04.2018.XLS.csv
Dye(s),SYBR,,,,, , QPCRmc16.04.2018.XLS.csv
"Inverted Data",OFF,,,,, , QPCRmc16.04.2018.XLS.csv
Pos,Name,"No. Tm SYBR","Tm x (°C) SYBR","Tm y (°C) SYBR","Mean SYBR","Dev. SYBR" , QPCRmc17.04.2018.XLS.csv
A1,CEWE_AA_0250,0,,,, , QPCRmc17.04.2018.XLS.csv
A2,CEWE_AA_0250,0,,,, , QPCRmc17.04.2018.XLS.csv
A3,CEWE_AA_0250,0,,,, , QPCRmc17.04.2018.XLS.csv
A4,CEWE_AA_0250,0,,,, , QPCRmc17.04.2018.XLS.csv
A5,CEWE_AA_0250,0,,,, , QPCRmc17.04.2018.XLS.csv
A6,CEWE_AA_0250,0,,,, , QPCRmc17.04.2018.XLS.csv
A7,ILWE_AA_0250,1,79.6,,, , QPCRmc17.04.2018.XLS.csv
A8,ILWE_AA_0250,1,79.9,,, , QPCRmc17.04.2018.XLS.csv
A9,ILWE_AA_0250,1,79.7,,, , QPCRmc17.04.2018.XLS.csv
A10,ILWE_AA_0250,0,,,, , QPCRmc17.04.2018.XLS.csv
A11,ILWE_AA_0250,0,,,, , QPCRmc17.04.2018.XLS.csv
A12,ILWE_AA_0250,0,,,, , QPCRmc17.04.2018.XLS.csv
B1,CEWE_AA_0251,0,,,, , QPCRmc17.04.2018.XLS.csv
B2,CEWE_AA_0251,0,,,, , QPCRmc17.04.2018.XLS.csv
B3,CEWE_AA_0251,0,,,, , QPCRmc17.04.2018.XLS.csv
B4,CEWE_AA_0251,0,,,, , QPCRmc17.04.2018.XLS.csv
B5,CEWE_AA_0251,0,,,, , QPCRmc17.04.2018.XLS.csv
B6,CEWE_AA_0251,0,,,, , QPCRmc17.04.2018.XLS.csv
B7,ILWE_AA_0251,1,79.5,,, , QPCRmc17.04.2018.XLS.csv
B8,ILWE_AA_0251,1,79.8,,, , QPCRmc17.04.2018.XLS.csv
B9,ILWE_AA_0251,1,78.7,,, , QPCRmc17.04.2018.XLS.csv
B10,ILWE_AA_0251,0,,,, , QPCRmc17.04.2018.XLS.csv
B11,ILWE_AA_0251,0,,,, , QPCRmc17.04.2018.XLS.csv
B12,ILWE_AA_0251,0,,,, , QPCRmc17.04.2018.XLS.csv
C1,CEWE_AA_0252,0,,,, , QPCRmc17.04.2018.XLS.csv
C2,CEWE_AA_0252,0,,,, , QPCRmc17.04.2018.XLS.csv
C3,CEWE_AA_0252,0,,,, , QPCRmc17.04.2018.XLS.csv
C4,CEWE_AA_0252,0,,,, , QPCRmc17.04.2018.XLS.csv
C5,CEWE_AA_0252,0,,,, , QPCRmc17.04.2018.XLS.csv
C6,CEWE_AA_0252,0,,,, , QPCRmc17.04.2018.XLS.csv
C7,ILWE_AA_0252,1,77.8,,, , QPCRmc17.04.2018.XLS.csv
C8,ILWE_AA_0252,1,78.8,,, , QPCRmc17.04.2018.XLS.csv
C9,ILWE_AA_0252,1,78.2,,, , QPCRmc17.04.2018.XLS.csv
C10,ILWE_AA_0252,0,,,, , QPCRmc17.04.2018.XLS.csv
C11,ILWE_AA_0252,0,,,, , QPCRmc17.04.2018.XLS.csv
C12,ILWE_AA_0252,0,,,, , QPCRmc17.04.2018.XLS.csv
D1,CEWE_AA_0255,1,80.1,,, , QPCRmc17.04.2018.XLS.csv
D2,CEWE_AA_0255,1,80.4,,, , QPCRmc17.04.2018.XLS.csv
D3,CEWE_AA_0255,1,79.7,,, , QPCRmc17.04.2018.XLS.csv
D4,CEWE_AA_0255,0,,,, , QPCRmc17.04.2018.XLS.csv
D5,CEWE_AA_0255,1,75.2,,, , QPCRmc17.04.2018.XLS.csv
D6,CEWE_AA_0255,1,75.2,,, , QPCRmc17.04.2018.XLS.csv
D7,ILWE_AA_0255,1,78.1,,, , QPCRmc17.04.2018.XLS.csv
D8,ILWE_AA_0255,1,77.4,,, , QPCRmc17.04.2018.XLS.csv
D9,ILWE_AA_0255,1,77.1,,, , QPCRmc17.04.2018.XLS.csv
D10,ILWE_AA_0255,0,,,, , QPCRmc17.04.2018.XLS.csv
D11,ILWE_AA_0255,0,,,, , QPCRmc17.04.2018.XLS.csv
D12,ILWE_AA_0255,0,,,, , QPCRmc17.04.2018.XLS.csv
E1,CEWE_AA_0256,1,80.2,,, , QPCRmc17.04.2018.XLS.csv
E2,CEWE_AA_0256,1,79.8,,, , QPCRmc17.04.2018.XLS.csv
E3,CEWE_AA_0256,1,78.9,,, , QPCRmc17.04.2018.XLS.csv
E4,CEWE_AA_0256,0,,,, , QPCRmc17.04.2018.XLS.csv
E5,CEWE_AA_0256,0,,,, , QPCRmc17.04.2018.XLS.csv
E6,CEWE_AA_0256,0,,,, , QPCRmc17.04.2018.XLS.csv
E7,ILWE_AA_0256,1,77.9,,, , QPCRmc17.04.2018.XLS.csv
E8,ILWE_AA_0256,1,76.8,,, , QPCRmc17.04.2018.XLS.csv
E9,ILWE_AA_0256,1,78.1,,, , QPCRmc17.04.2018.XLS.csv
E10,ILWE_AA_0256,0,,,, , QPCRmc17.04.2018.XLS.csv
E11,ILWE_AA_0256,0,,,, , QPCRmc17.04.2018.XLS.csv
E12,ILWE_AA_0256,0,,,, , QPCRmc17.04.2018.XLS.csv
H1,NTC,0,,,, , QPCRmc17.04.2018.XLS.csv
H2,NTC,0,,,, , QPCRmc17.04.2018.XLS.csv
H3,NTC,0,,,, , QPCRmc17.04.2018.XLS.csv
H4,NTC,0,,,, , QPCRmc17.04.2018.XLS.csv
H5,NTC,0,,,, , QPCRmc17.04.2018.XLS.csv
H6,NTC,0,,,, , QPCRmc17.04.2018.XLS.csv
H7,water,0,,,, , QPCRmc17.04.2018.XLS.csv
H8,water,0,,,, , QPCRmc17.04.2018.XLS.csv
H9,water,0,,,, , QPCRmc17.04.2018.XLS.csv
H10,water,0,,,, , QPCRmc17.04.2018.XLS.csv
H11,water,0,,,, , QPCRmc17.04.2018.XLS.csv
H12,water,0,,,, , QPCRmc17.04.2018.XLS.csv
,,,,,, , QPCRmc17.04.2018.XLS.csv
"Analysis Parameters",,,,,, , QPCRmc17.04.2018.XLS.csv
"Type of Application","Melting Curve",,,,, , QPCRmc17.04.2018.XLS.csv
Dye(s),SYBR,,,,, , QPCRmc17.04.2018.XLS.csv
"Inverted Data",OFF,,,,, , QPCRmc17.04.2018.XLS.csv
