"","Mouse_ID","delta_ct_MminusE","delta_ct_ilwe_MminusE","delta_ct_cewe_MminusE","qPCRsummary","qPCRstatus","observer","year"
"79","AA_0190",-3.0766666667,-8.4733333333,-3.0766666667,"infected cecum","positive","Mert",2016
"80","AA_0069",-3.84,-17.67,-3.84,"infected cecum","positive","Tabea",2016
"81","AA_0064",-2.13,-11.11,-2.13,"infected cecum","positive","Tabea",2016
"82","AA_0066",-2.58,-10.47,-2.58,"infected cecum","positive","Tabea",2016
"83","AA_0237",-4.82,-10.62,-4.82,"infected cecum","positive","Lorenzo",2017
"84","AA_0243",-2.375,-8.23,-2.375,"infected cecum","positive","Lorenzo",2017
"85","AA_0257",-1.61,-11.13,-1.61,"infected cecum","positive","Lorenzo",2017
"86","AA_0259",-4.55,-10.08,-4.55,"infected cecum","positive","Lorenzo",2017
"87","AA_0261",-4.21,-10.55,-4.21,"infected cecum","positive","Lorenzo",2017
"88","AA_0296",-3.435,-11.82,-3.435,"infected cecum","positive","Lorenzo",2017
"89","AA_0298",-4.73,-5,-4.73,"infected cecum","positive","Lorenzo",2017
"90","AA_0301",-3.73666666666667,-12.72,-3.73666666666667,"infected cecum","positive","Lorenzo",2017
"91","AA_0303",-2.07,-12.55,-2.07,"infected cecum","positive","Lorenzo",2017
"92","AA_0314",-2.82,-10.9,-2.82,"infected cecum","positive","Lorenzo",2017
"93","AA_0316",-3.06,-6.59,-3.06,"infected cecum","positive","Lorenzo",2017
"94","AA_0323",-3.605,-17.93,-3.605,"infected cecum","positive","Lorenzo",2017
"95","AA_0348",-4.945,-12.9,-4.945,"infected cecum","positive","Lorenzo",2017
"96","AA_0396",-4.79,-11.4775,-4.79,"infected cecum","positive","Lorenzo",2017
"97","AA_0397",-2.355,-12.83,-2.355,"infected cecum","positive","Lorenzo",2017
"98","AA_0406",-0.959999999999997,-15.23,-0.959999999999997,"infected cecum","positive","Lorenzo",2017
"99","AA_0413",-2.85,-8.34,-2.85,"infected cecum","positive","Lorenzo",2017
"100","AA_0424",-4.555,-7.25,-4.555,"infected cecum","positive","Lorenzo",2017
"101","AA_0428",-1.13,-6.3,-1.13,"infected cecum","positive","Lorenzo",2017
"102","AA_0429",-2.495,-9.88,-2.495,"infected cecum","positive","Lorenzo",2017
"103","AA_0431",-4.985,-8.47,-4.985,"infected cecum","positive","Lorenzo",2017
"104","AA_0432",-3.68,-8.91,-3.68,"infected cecum","positive","Lorenzo",2017
"105","AA_0434",-4.935,-7.3,-4.935,"infected cecum","positive","Lorenzo",2017
"106","AA_0445",-3.17,-12.69,-3.17,"infected cecum","positive","Lorenzo",2017
"107","AA_0446",-3.53,-10.6,-3.53,"infected cecum","positive","Lorenzo",2017
"108","AA_0452",-3.22,-11.7,-3.22,"infected cecum","positive","Lorenzo",2017
"109","AA_0454",1.33,-10.64,1.33,"infected cecum","positive","Lorenzo",2017
"110","AA_0458",0.350000000000001,-8.82,0.350000000000001,"infected cecum","positive","Lorenzo",2017
"111","AA_0465",-2.84,-10.58,-2.84,"infected cecum","positive","Lorenzo",2017
"112","AA_0068",-1.15,-4.16,-1.15,"cecum stronger","positive","Victor",2016
"113","AA_0140",4.39,-2.59,4.39,"cecum stronger","positive","Victor",2016
"114","AA_0088",-2.34,-5.42,-2.34,"cecum stronger","positive","Mert&Victor",2016
"115","AA_0436",-1.175,-2.64,-1.175,"cecum stronger","positive","Lorenzo",2017
"116","AA_0497",-0.18,-3.64,-0.18,"cecum stronger","positive","Lorenzo",2017
"117","AA_0111",1.93,1.93,-0.6966666667,"ileum stronger","positive","Mert",2016
"118","AA_0080",4.75,4.75,0.420000000000002,"ileum stronger","positive","Victor",2016
"119","AA_0139",2.6066666667,2.6066666667,-1.9033333333,"ileum stronger","positive","Mert",2016
"120","AA_0070",-3.57,-3.57,-3.94,"ileum stronger","positive","Tabea&Victor",2016
"121","AA_0244",-1.38,-1.38,-2.6,"ileum stronger","positive","Lorenzo",2017
"122","AA_0245",3.7,3.7,-4.58,"ileum stronger","positive","Lorenzo",2017
