Mouse_ID,Hymenolepis_microstoma,Hymenolepis_diminiuta,Catenotaenia_pusilla,Cysticercus,Mesocestoides,Mastophorus_muris,Trichuris_muris,Heterakis_spumosa,Syphacia_obvelata,Aspiculuris_tetraptera,Heligmosomoides_polygurus,Notes,,
AA_0321,0,0,0,0,0,0,0,0,37,0,0,,,
AA_0322,0,0,0,0,0,0,0,0,1,0,0,,,
AA_0323,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0324,0,0,0,0,0,0,0,2,83,0,0,,,
AA_0325,3,0,0,0,0,0,0,0,7,0,0,,,
AA_0326,0,0,0,0,0,0,0,0,2,0,0,,,
AA_0327,0,0,0,0,1,0,0,0,0,18,0,,,
AA_0328,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0329,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0330,0,0,0,0,0,0,0,0,0,4,0,,,
AA_0331,0,0,0,0,0,1,0,0,214,12,0,,,
AA_0332,0,0,0,0,0,0,0,0,6,7,0,,,
AA_0333,0,0,6,0,0,0,0,0,22,45,0,left kidney regressed,,
AA_0334,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0335,0,0,0,0,1,0,0,0,0,0,0,,,
AA_0336,0,0,2,0,0,0,0,0,70,0,0,,,
AA_0337,0,0,0,0,0,0,4,0,115,66,0,,,
AA_0338,0,0,0,0,1,0,0,0,0,0,0,white spot on belly,,
AA_0339,0,0,0,0,0,0,0,0,1,136,0,,,
AA_0340,0,0,0,0,0,0,0,0,7,2,0,,,
AA_0341,0,0,0,0,0,0,0,0,2,7,0,,,
AA_0342,0,0,0,0,0,0,0,0,0,67,0,,,
AA_0343,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0344,1,0,0,0,3,0,3,1,0,0,0,SG in our tank (mistake),,
AA_0345,1,0,0,0,0,0,0,0,0,0,0,,,
AA_0346,0,0,0,0,0,0,20,0,42,10,0,,,
AA_0347,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0348,0,0,0,0,0,15,8,0,0,9,0,,,
AA_0349,0,0,0,0,0,18,71,0,0,0,0,,,
AA_0350,0,0,0,0,0,0,0,0,27,0,0,,,
AA_0351,1,0,0,0,0,29,0,0,0,0,0,hepatomegalia. Necrosis on the splee. Hypertrophic mesenteric lymph nodes,,
AA_0352,0,0,0,0,0,0,9,0,20,17,0,,,
AA_0353,0,0,0,0,0,13,1,0,0,11,0,,,
AA_0354,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0355,1,0,0,0,0,17,4,0,0,7,0,,,
AA_0356,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0357,0,0,0,0,0,0,0,0,54,0,0,Died in cage. Small protocol ,,
AA_0358,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0359,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0360,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died in cage. Small protocol ,,
AA_0362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died in cage. Small protocol ,,
AA_0363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died in cage. Small protocol ,,
AA_0364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died in cage. Small protocol ,,
AA_0365,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0366,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0367,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0368,0,0,0,0,0,0,0,0,5,0,0,,,
AA_0369,0,0,0,0,0,0,0,0,57,0,0,,,
AA_0370,0.73,TRUE,0,0,0,0,0,0,0,0,8,0,0,
AA_0371,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0372,0,0,0,0,0,0,0,0,2,0,0,,,
AA_0373,0,0,0,0,0,0,0,0,6,0,0,,,
AA_0374,0,0,0,0,0,0,0,0,4,0,0,,,
AA_0375,0,0,0,0,0,0,0,0,3,0,0,,,
AA_0376,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0377,0,0,0,0,0,0,0,0,21,0,0,,,
AA_0378,0,0,0,0,0,0,0,0,2,0,0,,,
AA_0379,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0380,0,0,0,0,0,0,0,0,30,0,0,,,
AA_0381,0,0,0,0,0,0,0,0,4,2,0,,,
AA_0382,0,0,0,0,0,0,0,0,15,4,0,,,
AA_0383,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0384,0,0,0,0,0,0,0,0,0,0,0,white spot on belly,,
AA_0385,0,0,0,0,0,0,0,0,3,0,0,,,
AA_0386,0,0,0,0,0,0,0,0,7,0,0,,,
AA_0387,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0388,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0389,0,0,0,0,0,0,0,0,19,16,0,,,
AA_0390,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0391,0,0,0,0,0,0,0,1,1,0,0,,,
AA_0392,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0393,0,0,0,0,0,0,9,0,0,6,0,,,
AA_0394,0,0,0,0,0,0,0,0,7,0,0,,,
AA_0395,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0396,0,0,0,0,0,0,1,0,23,0,0,,,
AA_0397,0,0,0,0,0,0,4,0,0,0,0,,,
AA_0398,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0399,0,0,0,0,0,0,0,0,12,4,0,,,
AA_0400,0,0,0,0,0,0,0,0,118,0,0,,,
AA_0401,0,0,0,0,0,1,0,1,14,0,0,,,
AA_0402,0,0,0,0,0,3,0,0,0,1,0,,,
AA_0403,0,0,0,0,0,0,0,0,19,0,0,,,
AA_0404,0,0,0,0,0,0,0,0,18,0,0,,,
AA_0405,0,0,0,0,0,0,0,1,0,0,0,,,
AA_0406,0,0,0,0,0,0,0,0,20,0,0,necrotic tissues liver,,
AA_0407,0,0,0,0,0,0,0,0,0,3,0,,,
AA_0408,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0409,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0410,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0411,0,0,0,0,0,0,0,0,2,0,0,,,
AA_0412,0,0,0,0,1,0,0,0,0,0,0,,,
AA_0413,0,0,0,0,0,17,0,0,26,6,0,,,
AA_0414,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died in cage. Small protocol ,,
AA_0416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died in cage. Small protocol ,,
AA_0417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died in cage. Small protocol ,,
AA_0418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died in cage. Small protocol ,,
AA_0419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died in cage. Small protocol ,,
AA_0420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died in cage. Small protocol ,,
AA_0421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died in cage. Small protocol ,,
AA_0422,0,0,0,0,0,0,0,0,0,1,0,,,
AA_0423,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0424,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0425,0,0,0,0,0,0,0,0,3,0,0,,,
AA_0426,0,0,0,0,0,0,0,0,4,0,0,,,
AA_0427,0,0,0,0,0,0,1,0,11,0,0,,,
AA_0428,0,0,0,0,0,0,0,0,9,0,0,,,
AA_0429,0,0,0,0,0,0,0,0,34,0,0,,,
AA_0430,0,0,0,0,0,0,0,0,10,0,0,,,
AA_0431,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0432,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died in cage. Small protocol ,,
AA_0434,0,0,0,0,0,0,1,1,2,0,0,,,
AA_0435,6,0,0,0,0,0,0,0,1,55,0,,,
AA_0436,0.64,TRUE,0,0,0,0,0,0,1,0,0,0,0,
AA_0437,0,0,0,0,0,0,0,0,4,0,0,,,
AA_0438,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0439,0.49,FALSE,0,0,0,0,0,0,0,0,0,0,0,
AA_0440,0.81,TRUE,0,0,0,0,0,0,0,4,0,0,0,
AA_0441,0.11,TRUE,0,0,0,0,0,0,3,0,0,0,0,
AA_0442,0,0,0,0,0,0,0,0,43,0,0,,,
AA_0443,0.26,FALSE,0,0,0,0,0,0,0,0,0,0,0,
AA_0444,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0445,0.56,FALSE,0,0,0,0,0,0,0,0,0,0,0,
AA_0446,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0447,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0448,0,0,0,0,0,0,0,0,2,0,0,,,
AA_0449,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0450,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0451,0,0,0,0,0,0,0,2,3,0,0,,,
AA_0452,0,0,0,0,0,0,0,1,2,0,0,,,
AA_0453,0.19,FALSE,0,0,0,0,0,0,0,0,0,0,0,
AA_0454,0.26 but in the same cage as AA_0463!!!!,FALSE,0,0,0,0,0,0,0,0,0,0,0,
AA_0455,0.54,FALSE,0,0,0,0,0,0,0,0,0,0,0,
AA_0456,0,0,0,0,0,0,0,0,2,0,0,,,
AA_0457,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0458,0,0,0,0,0,0,0,0,2,0,0,,,
AA_0459,0.53,FALSE,0,0,0,0,0,0,0,0,0,0,0,
AA_0460,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0461,0,0,0,0,0,0,0,0,4,0,0,,,
AA_0462,0,0,0,0,0,0,0,0,9,0,0,,,
AA_0463,0.01,TRUE,0,0,0,0,0,0,26,0,0,0,0,
AA_0464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AA_0465,0.38,TRUE,0,0,0,0,0,0,1,0,3,0,0,white spot on belly
AA_0466,0.53,TRUE,0,0,0,0,0,0,2,0,0,0,0,
AA_0467,0.5,TRUE,0,0,0,0,0,0,0,2,0,0,0,
AA_0468,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0469,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0470,0,0,0,0,0,0,0,0,1,0,0,,,
AA_0471,0,0,0,0,0,0,0,0,99,0,0,colon empty one tube barely nothing,,
AA_0472,0,0,0,0,0,0,0,0,25,0,0,,,
AA_0473,0,0,0,0,0,8,0,0,0,0,0,,,
AA_0474,0,0,0,0,0,0,0,0,40,0,0,,,
AA_0475,0,0,0,0,0,0,0,0,45,0,0,,,
AA_0476,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0477,0,0,0,0,0,50,0,0,40,0,0,,,
AA_0478,0,0,0,0,0,0,0,0,80,0,0,,,
AA_0479,0,0,0,0,0,3,0,0,0,2,0,,,
AA_0480,0,0,0,0,0,2,0,0,0,0,0,,,
AA_0481,0,0,0,0,0,0,0,0,40,0,0,,,
AA_0482,0,0,0,0,0,4,0,0,45,0,0,,,
AA_0483,0,0,0,0,0,1,0,0,45,15,0,,,
AA_0484,0,0,0,0,0,1,0,0,0,0,0,,,
AA_0485,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0486,0,0,0,0,0,0,0,0,35,0,0,,,
AA_0487,0,0,0,0,0,0,0,0,6,0,0,,,
AA_0488,0,0,0,0,0,0,0,0,48,0,0,,,
AA_0489,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0490,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0491,0,0,0,0,0,0,0,0,0,10,0,,,
AA_0492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
AA_0493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
AA_0494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
AA_0495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
AA_0496,0,0,0,0,0,0,0,2,0,33,0,Mesentery not taken,,
AA_0497,0,0,0,0,0,0,0,10,0,284,0,,,
AA_0498,0,0,0,0,0,0,0,0,0,28,0,,,
AA_0499,0,0,0,0,0,0,0,0,0,110,0,,,
AA_0500,0,0,0,0,0,0,0,0,86,118,0,,,
AA_0501,0,0,0,0,0,0,0,11,0,0,0,,,
AA_0502,0,0,0,0,0,0,0,0,0,5,0,,,
AA_0503,0,0,0,0,0,0,0,0,144,0,0,,,
AA_0504,0,0,0,0,0,0,0,0,3,0,0,,,
AA_0505,0,0,0,0,0,0,52,0,0,0,0,,,
AA_0506,0,0,0,0,0,4,0,0,120,0,0,,,
AA_0507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead. Small protocol ,,
AA_0508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead. Small protocol ,,
AA_0509,0,0,0,0,0,0,0,0,3,0,0,,,
AA_0510,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0511,0,0,0,0,0,0,0,0,6,0,0,,,
AA_0512,0,0,0,0,0,0,0,0,41,0,0,,,
AA_0513,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0514,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0515,0,0,0,0,0,0,0,0,0,0,0,,,
AA_0516,TRUE,0,0,0,0,0,0,0,0,8,0,0,,
AA_0517,TRUE,0,0,0,0,0,0,0,0,18,0,0,,
AA_0518,FALSE,0,0,0,0,0,0,0,0,0,0,0,,
AA_0519,TRUE,0,0,0,0,0,0,48,0,0,0,0,,
AA_0520,TRUE,0,0,0,0,0,0,2,0,0,1,0,,
AA_0521,TRUE,0,0,0,0,0,0,0,0,14,25,0,,
AA_0522,TRUE,0,0,0,0,0,0,0,0,35,0,0,,
AA_0523,TRUE,0,0,0,0,0,0,0,0,0,93,0,,
ZZ_0001,0,0,0,0,0,0,3,0,9,0,10,,,
ZZ_0002,0,0,0,0,0,0,0,0,0,0,0,NA,,
ZZ_0003,0,0,0,0,0,0,0,0,0,0,0,NA,,
ZZ_0004,0,0,0,0,0,0,0,0,0,0,0,NA,,
ZZ_0005,0,0,0,0,0,0,0,0,0,0,0,NA,,
ZZ_0006,0,0,0,0,0,0,0,0,0,0,0,NA,,
ZZ_0007,0,0,0,0,0,0,0,0,0,0,0,NA,,
ZZ_0008,0,0,0,0,0,0,0,0,0,0,0,NA,,
ZZ_0009,0,0,0,0,0,0,0,0,19,0,0,NA,,
ZZ_0010,0,0,0,0,0,0,0,0,21,0,0,NA,,
ZZ_0011,0,0,5,0,0,0,0,0,0,0,0,NA,,
ZZ_0012,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0013,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0014,0,0,1,0,0,0,1,0,0,0,0,,,
ZZ_0015,0,0,0,0,0,0,5,0,0,0,0,,,
ZZ_0016,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0017,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0018,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0019,0,1,0,0,0,0,0,0,0,0,0,,,
ZZ_0020,0,2,0,0,0,0,0,0,0,0,0,,,
ZZ_0021,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0022,0,0,0,0,0,0,0,0,0,6,0,,,
ZZ_0023,0,1,0,0,0,0,0,0,0,0,0,,,
ZZ_0024,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0025,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0026,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0027,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0028,0,0,0,0,0,0,5,0,0,0,0,,,
ZZ_0029,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0030,0,0,6,0,0,0,0,0,0,0,0,,,
ZZ_0031,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0032,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0033,0,2,0,0,0,0,3,0,0,0,0,,,
ZZ_0034,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0035,0,3,0,0,0,0,0,0,0,0,0,,,
ZZ_0036,0,5,0,0,0,0,0,0,0,0,0,,,
ZZ_0037,0.82 but mixed with ZZ_0038,FALSE,0,0,0,0,0,0,0,0,0,0,0,
ZZ_0038,0.82 but mixed with ZZ_0037,TRUE,0,2,0,0,0,0,0,0,0,0,0,
ZZ_0039,01. Aug,TRUE,8,0,0,0,0,0,0,0,0,0,0,
ZZ_0040,NA,TRUE,0,20,0,0,0,0,0,0,0,0,0,
ZZ_0041,0,0,0,0,0,0,0,0,0,0,5,,,
ZZ_0042,0,11,0,0,0,0,0,0,0,0,0,fleas and ticks,,
ZZ_0043,0,3,0,0,0,0,1,1,0,0,0,,,
ZZ_0044,0,12,0,0,0,0,0,0,0,0,0,,,
ZZ_0045,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0046,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0047,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0048,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0049,0,1,0,0,0,0,3,0,0,0,0,,,
ZZ_0050,0,0,0,0,0,0,1,0,0,0,0,,,
ZZ_0051,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0052,0,0,0,0,0,0,0,1,0,0,0,,,
ZZ_0053,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0054,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,
ZZ_0055,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0056,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0057,0,0,0,0,0,0,0,0,7,0,0,,,
ZZ_0058,0,1,0,0,0,0,0,0,0,0,0,,,
ZZ_0059,0,0,0,0,0,0,0,0,123,0,0,,,
ZZ_0060,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0061,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0062,0,0,0,0,0,0,0,0,0,0,11,,,
ZZ_0063,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0064,0,1,0,0,0,0,1,2,0,0,0,,,
ZZ_0065,8,0,0,0,0,0,0,0,2,0,0,,,
ZZ_0066,0,0,0,0,0,0,0,0,0,0,0,,,
ZZ_0067,0,0,0,0,0,0,0,0,2,0,0,,,
ZZ_0068,0,0,0,0,0,0,0,9,0,0,0,,,
ZZ_0069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead. Small protocol ,,
ZZ_0070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead. Small protocol ,,
ZZ_0071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead. Small protocol ,,
ZZ_0072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead. Small protocol ,,
ZZ_0073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead. Small protocol ,,
ZZ_0074,FALSE,0,0,0,0,0,0,0,0,0,0,0,,
