"Mouse_ID","delta_ct_MminusE","delta_ct_ilwe_MminusE","delta_ct_cewe_MminusE","qPCRsummary","qPCRstatus","observer","year"
"AA_0196",-3.75,-8.7866666667,-6.1733333333,"non infected","negative","Mert",2016
"AA_0197",-3.75,-8.4966666667,-8.7133333333,"non infected","negative","Mert",2016
"AA_0198",-3.75,-9.11,-8.12,"non infected","negative","Mert",2016
"AA_0199",-3.75,-9.0933333333,-8.4233333333,"non infected","negative","Mert",2016
"AA_0200",-3.75,-8.06,-7.08,"non infected","negative","Mert",2016
"AA_0201",-3.75,-8.53,-8.62,"non infected","negative","Mert",2016
"AA_0202",-3.75,-8.03,-8.4833333333,"non infected","negative","Mert",2016
"AA_0203",-3.75,-8.8333333333,-8.7433333333,"non infected","negative","Mert",2016
"AA_0204",3.3166666667,3.3166666667,-8.3133333333,"infected ileum","positive","Mert",2016
"AA_0205",-3.75,-8.9133333333,-8.98,"non infected","negative","Mert",2016
"AA_0206",-3.75,-8.76,-7.6833333333,"non infected","negative","Mert",2016
"AA_0207",-3.75,-9.2433333333,-8.69,"non infected","negative","Mert",2016
"AA_0208",-3.75,-9.2566666667,-8.4033333333,"non infected","negative","Mert",2016
"AA_0209",-3.75,-7.9666666667,-7.4633333333,"non infected","negative","Mert",2016
"AA_0210",-3.75,-8.88,-8.35,"non infected","negative","Mert",2016
"AA_0211",-3.75,-8.6,-8.7533333333,"non infected","negative","Mert",2016
"AA_0068",-1.15,-4.16,-1.15,"infected cecum","positive","Victor",2016
"AA_0080",4.75,4.75,0.420000000000002,"ileum stronger","positive","Victor",2016
"AA_0140",4.39,-2.59,4.39,"cecum stronger","positive","Victor",2016
"AA_0047",-3.75,-6.64,-9.3,"non infected","negative","Tabea",2016
"AA_0069",-3.75,-17.67,-3.84,"non infected","negative","Tabea",2016
"AA_0237",-3.75,-10.62,-4.82,"non infected","negative","Lorenzo",2017
"AA_0238",-3.75,-8.225,-10.57,"non infected","negative","Lorenzo",2017
"AA_0239",-3.75,-12.86,-8.425,"non infected","negative","Lorenzo",2017
"AA_0240",-3.75,-10.775,-10.985,"non infected","negative","Lorenzo",2017
"AA_0241",-3.75,-13.155,-11.195,"non infected","negative","Lorenzo",2017
"AA_0242",-3.75,-10.56,-15.45,"non infected","negative","Lorenzo",2017
"AA_0243",-2.375,-8.23,-2.375,"infected cecum","positive","Lorenzo",2017
"AA_0244",-1.38,-1.38,-2.6,"ileum stronger","positive","Lorenzo",2017
"AA_0245",3.7,3.7,-4.58,"infected ileum","positive","Lorenzo",2017
"AA_0246",0.0800000000000001,0.0800000000000001,-9.895,"infected ileum","positive","Lorenzo",2017
"AA_0247",-0.654999999999998,-0.654999999999998,-8.31,"infected ileum","positive","Lorenzo",2017
"AA_0248",-0.940000000000003,-0.940000000000003,-6.685,"infected ileum","positive","Lorenzo",2017
"AA_0249",-0.725000000000001,-0.725000000000001,-8.755,"infected ileum","positive","Lorenzo",2017
"AA_0250",-0.525,-0.525,-5.87,"infected ileum","positive","Lorenzo",2017
"AA_0251",-3.75,-10.59,-11.06,"non infected","negative","Lorenzo",2017
"AA_0252",-3.75,-10.95,-8.63,"non infected","negative","Lorenzo",2017
"AA_0255",-3.75,-11.855,-8.53,"non infected","negative","Lorenzo",2017
"AA_0256",-3.75,-10.19,-10.86,"non infected","negative","Lorenzo",2017
"AA_0257",-1.61,-11.13,-1.61,"infected cecum","positive","Lorenzo",2017
"AA_0258",-3.75,-11.15,-11.44,"non infected","negative","Lorenzo",2017
"AA_0259",-3.75,-10.08,-4.55,"non infected","negative","Lorenzo",2017
"AA_0260",-3.75,-12.09,-7.17,"non infected","negative","Lorenzo",2017
"AA_0261",-3.75,-10.55,-4.21,"non infected","negative","Lorenzo",2017
"AA_0262",-3.75,-10.63,-12.03,"non infected","negative","Lorenzo",2017
"AA_0263",-3.75,-10.96,-8.7,"non infected","negative","Lorenzo",2017
"AA_0264",-3.75,-9.77,-12.19,"non infected","negative","Lorenzo",2017
"AA_0265",-3.75,-11.04,-12.13,"non infected","negative","Lorenzo",2017
"AA_0267",-3.75,-12.47,-12.575,"non infected","negative","Lorenzo",2017
"AA_0268",-3.75,-12.38,-7.48,"non infected","negative","Lorenzo",2017
"AA_0269",3.75,3.75,-12.74,"infected ileum","positive","Lorenzo",2017
"AA_0270",-3.75,-19.31,-12.53,"non infected","negative","Lorenzo",2017
"AA_0271",-3.75,-14.21,-12.26,"non infected","negative","Lorenzo",2017
"AA_0272",-3.75,-13.8,-13.64,"non infected","negative","Lorenzo",2017
"AA_0273",3.75,-12.08,3.75,"infected cecum","positive","Lorenzo",2017
"AA_0274",-3.75,-15.48,-11.23,"non infected","negative","Lorenzo",2017
"AA_0275",-3.75,-12.02,-14.61,"non infected","negative","Lorenzo",2017
"AA_0276",-3.75,-12.9733333333333,-12.7,"non infected","negative","Lorenzo",2017
"AA_0277",-3.75,-14.01,-12.7466666666667,"non infected","negative","Lorenzo",2017
"AA_0278",-3.75,-12.4933333333333,-11.44,"non infected","negative","Lorenzo",2017
"AA_0279",-3.75,-13.355,-12.2533333333333,"non infected","negative","Lorenzo",2017
"AA_0280",-3.75,-12.4,-12.4033333333333,"non infected","negative","Lorenzo",2017
"AA_0281",-3.75,-15.1166666666667,-10.6166666666667,"non infected","negative","Lorenzo",2017
"AA_0282",-3.75,-12.9666666666667,-11.33,"non infected","negative","Lorenzo",2017
"AA_0283",-3.75,3.75,3.75,NA,NA,"Lorenzo",2017
"AA_0284",-3.75,3.75,3.75,NA,NA,"Lorenzo",2017
"AA_0285",-3.75,3.75,3.75,NA,NA,"Lorenzo",2017
"AA_0286",3.75,3.75,-14.1,"infected ileum","positive","Lorenzo",2017
"AA_0287",-3.75,3.75,3.75,NA,NA,"Lorenzo",2017
"AA_0288",-3.75,-11.42,-13.59,"non infected","negative","Lorenzo",2017
"AA_0289",3.75,3.75,-12.3433333333333,"infected ileum","positive","Lorenzo",2017
"AA_0290",-3.75,-14.38,-15.91,"non infected","negative","Lorenzo",2017
"AA_0291",3.75,3.75,-12.8,"infected ileum","positive","Lorenzo",2017
"AA_0292",3.75,3.75,-12.81,"infected ileum","positive","Lorenzo",2017
"AA_0294",-3.75,-12.95,NA,"non infected ileum [cecum.NA]","positive","Lorenzo",2017
"AA_0296",-3.435,-11.82,-3.435,"infected cecum","positive","Lorenzo",2017
"AA_0297",-3.75,-11.84,NA,"non infected ileum [cecum.NA]","positive","Lorenzo",2017
"AA_0298",3.75,3.75,-4.73,"infected ileum","positive","Lorenzo",2017
"AA_0299",-3.75,-12.96,-11.1,"non infected","negative","Lorenzo",2017
"AA_0300",-3.75,-11.95,-11.46,"non infected","negative","Lorenzo",2017
"AA_0301",-3.73666666666667,-12.72,-3.73666666666667,"infected cecum","positive","Lorenzo",2017
"AA_0302",-3.75,-11.18,-14.33,"non infected","negative","Lorenzo",2017
"AA_0303",-2.07,-12.55,-2.07,"infected cecum","positive","Lorenzo",2017
"AA_0304",-3.75,-14.87,-11.04,"non infected","negative","Lorenzo",2017
"AA_0305",-3.75,-13.04,-10.85,"non infected","negative","Lorenzo",2017
"AA_0306",-3.75,-11.54,-10.99,"non infected","negative","Lorenzo",2017
"AA_0307",-3.75,-14.1,-10.51,"non infected","negative","Lorenzo",2017
"AA_0308",-3.75,-13.5,-6.32,"non infected","negative","Lorenzo",2017
"AA_0309",-3.75,-6.46,NA,"non infected ileum [cecum.NA]","positive","Lorenzo",2017
"AA_0310",-3.75,-12.715,-9.21,"non infected","negative","Lorenzo",2017
"AA_0311",-3.75,-15.48,-15.6,"non infected","negative","Lorenzo",2017
"AA_0312",-3.75,-11.56,-11.41,"non infected","negative","Lorenzo",2017
"AA_0313",-3.75,-17.9,-12.09,"non infected","negative","Lorenzo",2017
"AA_0314",-2.82,-10.9,-2.82,"infected cecum","positive","Lorenzo",2017
"AA_0315",-3.75,-14.8,-14.33,"non infected","negative","Lorenzo",2017
"AA_0316",-3.06,-6.59,-3.06,"infected cecum","positive","Lorenzo",2017
"AA_0317",-3.75,-14.21,-6.98,"non infected","negative","Lorenzo",2017
"AA_0318",-3.75,3.75,3.75,NA,NA,"Lorenzo",2017
"AA_0319",-3.75,NA,-7.82,"non infected cecum [ileum.NA]","positive","Lorenzo",2017
"AA_0320",-3.75,NA,-11.29,"non infected cecum [ileum.NA]","positive","Lorenzo",2017
"AA_0321",-3.75,-10.05,-8.73,"non infected","negative","Lorenzo",2017
"AA_0322",-3.75,-13.34,-12.66,"non infected","negative","Lorenzo",2017
"AA_0323",-3.605,-17.93,-3.605,"infected cecum","positive","Lorenzo",2017
"AA_0324",-3.75,-14.35,-10.99,"non infected","negative","Lorenzo",2017
"AA_0325",3.75,3.75,-6.98,"infected ileum","positive","Lorenzo",2017
"AA_0326",-3.75,-12.97,-10.93,"non infected","negative","Lorenzo",2017
"AA_0327",-3.75,-13.78,-13.61,"non infected","negative","Lorenzo",2017
"AA_0328",-3.75,-12.17,-7.13,"non infected","negative","Lorenzo",2017
"AA_0329",-3.75,NA,-12.05,"non infected cecum [ileum.NA]","positive","Lorenzo",2017
"AA_0330",-3.75,NA,-11.63,"non infected cecum [ileum.NA]","positive","Lorenzo",2017
"AA_0331",-3.75,NA,-9.42,"non infected cecum [ileum.NA]","positive","Lorenzo",2017
"AA_0332",-3.75,NA,-9.93,"non infected cecum [ileum.NA]","positive","Lorenzo",2017
"AA_0333",-3.75,-14.67,-12.48,"non infected","negative","Lorenzo",2017
"AA_0334",-3.75,NA,-10.985,"non infected cecum [ileum.NA]","positive","Lorenzo",2017
"AA_0335",3.75,3.75,-11.02,"infected ileum","positive","Lorenzo",2017
"AA_0336",-3.75,-11.31,NA,"non infected ileum [cecum.NA]","positive","Lorenzo",2017
"AA_0337",-3.75,-13.03,-13.45,"non infected","negative","Lorenzo",2017
"AA_0338",-3.75,-12.45,-15.57,"non infected","negative","Lorenzo",2017
"AA_0339",-3.75,-11.06,-14.46,"non infected","negative","Lorenzo",2017
"AA_0340",-3.75,-11.48,-11.31,"non infected","negative","Lorenzo",2017
"AA_0341",-3.75,NA,-9.76,"non infected cecum [ileum.NA]","positive","Lorenzo",2017
"AA_0342",-3.75,-10.91,-9.67,"non infected","negative","Lorenzo",2017
"AA_0343",-3.75,-10.295,-11.9933333333333,"non infected","negative","Lorenzo",2017
"AA_0344",-3.75,-12.155,-10.785,"non infected","negative","Lorenzo",2017
"AA_0345",-3.75,-12.69,-7.83,"non infected","negative","Lorenzo",2017
"AA_0346",-3.75,-11.01,-10.7,"non infected","negative","Lorenzo",2017
"AA_0347",-3.75,-11.55,-10.955,"non infected","negative","Lorenzo",2017
"AA_0348",-3.75,-12.9,-4.945,"non infected","negative","Lorenzo",2017
"AA_0349",-3.75,-11.8,-12.83,"non infected","negative","Lorenzo",2017
"AA_0350",-3.75,-11.685,-11.77,"non infected","negative","Lorenzo",2017
"AA_0351",-3.75,-11.19,-5.68,"non infected","negative","Lorenzo",2017
"AA_0352",-3.75,-9.72,-12.66,"non infected","negative","Lorenzo",2017
"AA_0353",-3.75,-18.175,-13.7533333333333,"non infected","negative","Lorenzo",2017
"AA_0354",-3.75,-10.93,-7.42,"non infected","negative","Lorenzo",2017
"AA_0355",-3.75,-13.765,-8,"non infected","negative","Lorenzo",2017
"AA_0356",-3.75,-11.78,-13.1,"non infected","negative","Lorenzo",2017
"AA_0357",-3.75,-15.11,-10.72,"non infected","negative","Lorenzo",2017
"AA_0358",-3.75,-13.16,-13.27,"non infected","negative","Lorenzo",2017
"AA_0359",-3.75,-7.275,-12.38,"non infected","negative","Lorenzo",2017
"AA_0360",-3.75,-16.69,-13.48,"non infected","negative","Lorenzo",2017
"AA_0365",-3.75,-15.76,-11.85,"non infected","negative","Lorenzo",2017
"AA_0366",-3.75,-4.9,-11.76,"non infected","negative","Lorenzo",2017
"AA_0367",-3.75,-14.48,-12.04,"non infected","negative","Lorenzo",2017
"AA_0368",-3.75,-12.105,-8.63333333333333,"non infected","negative","Lorenzo",2017
"AA_0369",-3.75,-12.155,-11.425,"non infected","negative","Lorenzo",2017
"AA_0370",-3.75,-13.98,-12.48,"non infected","negative","Lorenzo",2017
"AA_0371",-3.75,-12.52,-11.91,"non infected","negative","Lorenzo",2017
"AA_0372",-3.75,-12.96,-11.46,"non infected","negative","Lorenzo",2017
"AA_0373",-3.75,-13.83,-5.15,"non infected","negative","Lorenzo",2017
"AA_0374",3.75,3.75,-6.88,"infected ileum","positive","Lorenzo",2017
"AA_0375",3.75,3.75,-12.34,"infected ileum","positive","Lorenzo",2017
"AA_0376",3.75,3.75,-10.3,"infected ileum","positive","Lorenzo",2017
"AA_0377",-3.75,-11.21,-12.145,"non infected","negative","Lorenzo",2017
"AA_0378",-3.75,-12.96,-13.6,"non infected","negative","Lorenzo",2017
"AA_0379",-3.75,-11.625,-8.84,"non infected","negative","Lorenzo",2017
"AA_0380",-3.75,-12,-12.315,"non infected","negative","Lorenzo",2017
"AA_0381",-3.75,NA,-10.235,"non infected cecum [ileum.NA]","positive","Lorenzo",2017
"AA_0384",-3.75,-10.38,-13.63,"non infected","negative","Lorenzo",2017
"AA_0385",-3.75,-12.4,-12.5,"non infected","negative","Lorenzo",2017
"AA_0386",-3.75,NA,-12.16,"non infected cecum [ileum.NA]","positive","Lorenzo",2017
"AA_0387",-3.75,-15.19,-14.01,"non infected","negative","Lorenzo",2017
"AA_0388",-3.75,-13.2133333333333,-10.33,"non infected","negative","Lorenzo",2017
"AA_0389",-3.75,-11.99,-10.2766666666667,"non infected","negative","Lorenzo",2017
"AA_0390",3.75,3.75,-7.77,"infected ileum","positive","Lorenzo",2017
"AA_0391",-3.75,-12.33,-9.64,"non infected","negative","Lorenzo",2017
"AA_0392",-3.75,-12.15,-10.32,"non infected","negative","Lorenzo",2017
"AA_0393",-3.75,-11.76,-14.115,"non infected","negative","Lorenzo",2017
"AA_0394",-3.75,-11.655,-11.545,"non infected","negative","Lorenzo",2017
"AA_0395",-3.75,-11.84,-12.765,"non infected","negative","Lorenzo",2017
"AA_0396",-3.75,-11.4775,-4.79,"non infected","negative","Lorenzo",2017
"AA_0397",-2.355,-12.83,-2.355,"infected cecum","positive","Lorenzo",2017
"AA_0398",-3.75,-13.7,-13.685,"non infected","negative","Lorenzo",2017
"AA_0399",-3.75,-13.32,-14.24,"non infected","negative","Lorenzo",2017
"AA_0400",-3.75,NA,-9.84,"non infected cecum [ileum.NA]","positive","Lorenzo",2017
"AA_0401",-3.75,-6.02,-10.115,"non infected","negative","Lorenzo",2017
"AA_0402",-3.75,-11.28,-7.37,"non infected","negative","Lorenzo",2017
"AA_0403",-3.75,-10.74,-12.38,"non infected","negative","Lorenzo",2017
"AA_0404",-3.75,-10.36,-14.99,"non infected","negative","Lorenzo",2017
"AA_0405",-3.75,-12.82,-11.91,"non infected","negative","Lorenzo",2017
"AA_0406",-0.959999999999997,-15.23,-0.959999999999997,"infected cecum","positive","Lorenzo",2017
"AA_0407",-3.75,-12.02,-11.41,"non infected","negative","Lorenzo",2017
"AA_0408",-3.75,-12.83,-9.07,"non infected","negative","Lorenzo",2017
"AA_0409",-3.75,-13.185,-7.05,"non infected","negative","Lorenzo",2017
"AA_0410",-3.75,-12.48,-6.16,"non infected","negative","Lorenzo",2017
"AA_0411",-3.75,-10.5,-11.6,"non infected","negative","Lorenzo",2017
"AA_0412",-3.75,-14.75,-7.6,"non infected","negative","Lorenzo",2017
"AA_0413",-2.85,-8.34,-2.85,"infected cecum","positive","Lorenzo",2017
"AA_0414",-3.75,-12.83,-14.13,"non infected","negative","Lorenzo",2017
"AA_0422",-3.75,-12.2,-13.25,"non infected","negative","Lorenzo",2017
"AA_0423",-3.75,-12.98,-5.025,"non infected","negative","Lorenzo",2017
"AA_0424",-3.75,-7.25,-4.555,"non infected","negative","Lorenzo",2017
"AA_0425",-3.75,-13.22,-7.375,"non infected","negative","Lorenzo",2017
"AA_0426",-3.75,-9.26,-19.26,"non infected","negative","Lorenzo",2017
"AA_0427",-3.75,-10.89,-6.13,"non infected","negative","Lorenzo",2017
"AA_0428",-1.13,-6.3,-1.13,"infected cecum","positive","Lorenzo",2017
"AA_0429",-2.495,-9.88,-2.495,"infected cecum","positive","Lorenzo",2017
